變異點編號,權責單位,查證結果,變異類型,latitude,longitude
G011000600007,宜蘭縣,合法,新增建物,24.74000,121.78000
G101000800007,宜蘭縣,合法,其他,24.65000,121.61000
G071001200007,宜蘭縣,合法,新增建物,24.68000,121.78000
G091000800012,宜蘭縣,合法,整地,24.44000,121.80000
G051000600001,宜蘭縣,違規,新增建物,24.71000,121.71000
G031000800011,宜蘭縣,合法,其他,24.78000,121.72000
G101000600004,宜蘭縣,違規,整地,24.70000,121.74000
G121001200006,宜蘭縣,合法,整地,24.33000,121.77000
G081000600016,宜蘭縣,合法,新增建物,24.63000,121.81000
G051001000003,宜蘭縣,違規,其他,24.71000,121.71000
G051001000006,宜蘭縣,違規,其他,24.71000,121.71000
G051000800001,宜蘭縣,合法,新增建物,24.74000,121.73000
G031001200004,宜蘭縣,合法,其他,24.79000,121.73000
G041001000013,宜蘭縣,合法,新增水域(漁塭或水塘),24.77000,121.81000
G081001000010,宜蘭縣,違規,新增水域(漁塭或水塘),24.63000,121.75000
G101000600002,宜蘭縣,違規,整地,24.70000,121.75000
G081000600015,宜蘭縣,合法,新增水域(漁塭或水塘),24.63000,121.77000
G101001200001,宜蘭縣,合法,新增建物,24.70000,121.69000
G031001200008,宜蘭縣,違規,其他,24.81000,121.78000
G121001200005,宜蘭縣,合法,其他,24.39000,121.78000
G041000600010,宜蘭縣,合法,作物變化,24.73000,121.80000
G101001200002,宜蘭縣,合法,新增建物,24.68000,121.72000
G081001000009,宜蘭縣,合法,新增建物,24.69000,121.74000
G101000800003,宜蘭縣,合法,作物變化,24.70000,121.74000
G041001200010,宜蘭縣,違規,新增建物,24.75000,121.81000
G031000600018,宜蘭縣,違規,其他,24.81000,121.76000
G011000600021,宜蘭縣,違規,新增建物,24.75000,121.78000
G041000800014,宜蘭縣,違規,其他,24.75000,121.79000
G071000600012,宜蘭縣,合法,新增建物,24.70000,121.83000
G051001000001,宜蘭縣,合法,新增建物,24.74000,121.72000
G051001000004,宜蘭縣,違規,其他,24.72000,121.73000
G031000600006,宜蘭縣,合法,新增建物,24.79000,121.75000
G011000800013,宜蘭縣,合法,新增建物,24.73000,121.76000
G031000600019,宜蘭縣,合法,新增建物,24.80000,121.80000
G041000600020,宜蘭縣,違規,新增水域(漁塭或水塘),24.80000,121.81000
G101001000008,宜蘭縣,違規,新增建物,24.68000,121.69000
G101000600003,宜蘭縣,合法,作物變化,24.69000,121.70000
G031000800016,宜蘭縣,違規,新增建物,24.82000,121.78000
G101000800004,宜蘭縣,合法,軍事用地,24.69000,121.66000
G051001000002,宜蘭縣,合法,新增建物,24.74000,121.73000
G041000600009,宜蘭縣,違規,其他,24.73000,121.80000
G101001204001,宜蘭縣,合法,新增建物,24.71000,121.75000
G011000600008,宜蘭縣,合法,新增建物,24.74000,121.78000
G041001200009,宜蘭縣,違規,新增建物,24.79000,121.81000
G051000800002,宜蘭縣,違規,新增建物,24.72000,121.71000
G081000600013,宜蘭縣,合法,其他,24.65000,121.77000
G101000800008,宜蘭縣,合法,新增建物,24.67000,121.64000
G041000800018,宜蘭縣,合法,其他,24.75000,121.80000
G041000600011,宜蘭縣,不屬於其管轄範圍,其他,24.72000,121.81000
G031000800017,宜蘭縣,違規,其他,24.82000,121.81000
G071000600014,宜蘭縣,合法,新增建物,24.66000,121.81000
G101000800005,宜蘭縣,合法,其他,24.68000,121.70000
G081000800015,宜蘭縣,合法,其他,24.63000,121.81000
G101001000007,宜蘭縣,合法,新增建物,24.68000,121.69000
G101000800009,宜蘭縣,合法,新增建物,24.67000,121.71000
G061000800006,宜蘭縣,違規,新增建物,24.67000,121.75000
3141001200001,羅東林區管理處,合法,採礦變化,24.34000,121.76000
G101001200003,宜蘭縣,合法,其他,24.66000,121.65000
G121000604001,宜蘭縣,合法,其他,24.32000,121.76000
G051001000005,宜蘭縣,合法,新增建物,24.72000,121.73000
G051001000012,宜蘭縣,合法,其他,24.76000,121.73000
G081001000011,宜蘭縣,合法,新增建物,24.62000,121.75000
G031000800010,宜蘭縣,合法,其他,24.82000,121.76000
G051000600005,宜蘭縣,合法,新增建物,24.78000,121.71000
G091000600017,宜蘭縣,合法,整地,24.64000,121.84000
