變異點編號,權責單位,查證結果,變異類型,latitude,longitude
S111001200001,高雄市,合法,其他,22.84000,120.21000
S121001000018,高雄市,合法,新增建物,22.76000,120.28000
S161000800013,高雄市,合法,新增建物,22.85000,120.28000
S161001200006,高雄市,合法,移除水域(漁塭或水塘),22.84000,120.29000
S091001000017,高雄市,違規,新增建物,22.82000,120.30000
3611001000001,屏東林區管理處,違規,作物變化,22.87000,120.39000
S191000600012,高雄市,合法,新增水域(漁塭或水塘),22.90000,120.21000
S161001004001,高雄市,合法,自然植被改變,22.83000,120.25000
S131000600040,高雄市,合法,其他,22.73000,120.26000
S161000600064,高雄市,合法,整地,22.83000,120.27000
S161000600068,高雄市,合法,移除水域(漁塭或水塘),22.84000,120.29000
S161001000015,高雄市,合法,整地,22.87000,120.30000
S061001000007,高雄市,違規,新增建物,22.61000,120.42000
S211000600082,高雄市,合法,河道變化,22.89000,120.65000
S101000600015,高雄市,合法,新增水域(漁塭或水塘),22.87000,120.22000
S191001000002,高雄市,違規,新增建物,22.90000,120.23000
S191001000003,高雄市,合法,其他,22.90000,120.23000
S161001004003,高雄市,合法,自然植被改變,22.83000,120.28000
3611000600001,屏東林區管理處,違規,整地,22.83000,120.37000
S211000600081,高雄市,合法,作物變化,22.89000,120.63000
S101000702001,高雄市,合法,新增人工構造物,22.86000,120.19000
S161000600058,高雄市,違規,新增水域(漁塭或水塘),22.84000,120.27000
S161000600060,高雄市,違規,新增水域(漁塭或水塘),22.84000,120.27000
S041000600042,高雄市,違規,整地,22.74000,120.34000
S061000800010,高雄市,違規,新增建物,22.54000,120.42000
S111000600032,高雄市,違規,新增建物,22.81000,120.23000
S191000800001,高雄市,違規,新增建物,22.88000,120.23000
S181000600038,高雄市,合法,新增水域(漁塭或水塘),22.78000,120.24000
S131001000001,高雄市,違規,新增建物,22.74000,120.25000
S091001204001,高雄市,合法,新增建物,22.82000,120.26000
S161001004002,高雄市,合法,新增建物,22.82000,120.27000
S061000800008,高雄市,違規,新增建物,22.54000,120.42000
S131000800002,高雄市,違規,新增建物,22.77000,120.25000
S091000600070,高雄市,合法,其他,22.83000,120.30000
2131000600002,南區水資源局,合法,整地,22.82000,120.39000
S061001000012,高雄市,違規,其他,22.54000,120.42000
S191000600006,高雄市,違規,新增建物,22.90000,120.21000
S191000600005,高雄市,違規,新增建物,22.90000,120.22000
S161000600048,高雄市,合法,新增建物,22.88000,120.28000
S151000600056,高雄市,合法,其他,22.86000,120.32000
S081000800012,高雄市,合法,其他,22.52000,120.39000
S081001000014,高雄市,違規,新增建物,22.51000,120.40000
S081000800011,高雄市,違規,新增建物,22.53000,120.41000
S161000600020,高雄市,合法,新增水域(漁塭或水塘),22.86000,120.22000
S181000600037,高雄市,合法,其他,22.79000,120.24000
S161000600027,高雄市,合法,其他,22.85000,120.25000
S161000600054,高雄市,合法,新增建物,22.85000,120.29000
S161000600067,高雄市,合法,新增水域(漁塭或水塘),22.85000,120.29000
S061000800007,高雄市,違規,新增建物,22.59000,120.39000
S031001000005,高雄市,合法,新增建物,22.71000,120.39000
S061001000010,高雄市,違規,新增建物,22.57000,120.42000
S051001004006,高雄市,合法,整地,22.75000,120.45000
S111000600033,高雄市,合法,新增建物,22.81000,120.24000
S161000600028,高雄市,合法,新增建物,22.83000,120.26000
S171000800016,高雄市,合法,新增建物,22.78000,120.33000
S091000600072,高雄市,合法,整地,22.83000,120.33000
S081000702003,高雄市,合法,新增人工構造物,22.48000,120.40000
S191000600001,高雄市,合法,新增水域(漁塭或水塘),22.91000,120.20000
S111000600014,高雄市,合法,整地,22.85000,120.21000
S161000600057,高雄市,合法,新增水域(漁塭或水塘),22.84000,120.28000
1041001000001,玉山,合法,其他,23.26000,120.83000
S161000600050,高雄市,合法,新增建物,22.88000,120.28000
S161000600066,高雄市,違規,新增建物,22.85000,120.29000
7021001202001,高雄港務分公司,合法,新增人工構造物,22.54000,120.31000
S171000600079,高雄市,合法,其他,22.78000,120.35000
S111000600024,高雄市,合法,其他,22.83000,120.21000
S101000600018,高雄市,合法,新增水域(漁塭或水塘),22.86000,120.21000
S181000600036,高雄市,違規,新增建物,22.80000,120.22000
S161000600022,高雄市,合法,其他,22.85000,120.24000
S161000600049,高雄市,合法,新增建物,22.89000,120.29000
S161000600051,高雄市,違規,其他,22.88000,120.30000
S091000600069,高雄市,合法,其他,22.83000,120.31000
S161000600059,高雄市,違規,新增水域(漁塭或水塘),22.84000,120.27000
S041000800003,高雄市,違規,新增建物,22.74000,120.34000
S061001000008,高雄市,違規,新增建物,22.60000,120.43000
S221000600045,高雄市,合法,其他,22.97000,120.45000
S191000600009,高雄市,合法,其他,22.89000,120.22000
S161000600063,高雄市,合法,其他,22.83000,120.27000
S161000600055,高雄市,違規,新增水域(漁塭或水塘),22.85000,120.29000
S161001200005,高雄市,合法,其他,22.88000,120.30000
S171000600078,高雄市,合法,整地,22.78000,120.35000
S091001200007,高雄市,合法,其他,22.83000,120.30000
S041001000004,高雄市,違規,新增建物,22.72000,120.36000
S061000800009,高雄市,違規,新增建物,22.54000,120.42000
3621001000002,屏東林區管理處,合法,道路變化,23.05000,120.67000
S191000600003,高雄市,合法,其他,22.90000,120.21000
S111000600031,高雄市,違規,新增建物,22.81000,120.22000
S111000600023,高雄市,違規,新增建物,22.84000,120.23000
S091000600075,高雄市,合法,新增建物,22.82000,120.27000
S161000600062,高雄市,合法,整地,22.84000,120.27000
S151000600047,高雄市,合法,新增水域(漁塭或水塘),22.90000,120.28000
S021000800004,高雄市,違規,新增建物,22.65000,120.38000
S111000600021,高雄市,合法,其他,22.85000,120.21000
S101000600019,高雄市,合法,新增水域(漁塭或水塘),22.86000,120.22000
S111000600029,高雄市,違規,整地,22.81000,120.23000
S171001004005,高雄市,合法,新增建物,22.78000,120.36000
2131000600001,南區水資源局,合法,其他,22.83000,120.37000
S081001200004,高雄市,違規,新增建物,22.50000,120.39000
S101000600017,高雄市,合法,新增水域(漁塭或水塘),22.86000,120.21000
S091000800015,高雄市,違規,新增建物,22.82000,120.32000
S111000600035,高雄市,合法,其他,22.80000,120.25000
S161000600065,高雄市,合法,新增建物,22.83000,120.26000
2061000600006,第六河川局,合法,整地,22.90000,120.30000
S091000600071,高雄市,合法,自然植被改變,22.83000,120.33000
S151000600052,高雄市,合法,新增建物,22.89000,120.34000
S031000600043,高雄市,違規,新增建物,22.70000,120.37000
S061000800005,高雄市,違規,新增建物,22.63000,120.42000
S101000600008,高雄市,合法,新增水域(漁塭或水塘),22.89000,120.19000
S191000600002,高雄市,合法,新增水域(漁塭或水塘),22.90000,120.20000
S181000600039,高雄市,合法,其他,22.77000,120.24000
S191000600013,高雄市,違規,新增建物,22.89000,120.25000
S121000600041,高雄市,合法,其他,22.75000,120.29000
7021000702002,高雄港務分公司,合法,新增人工構造物,22.54000,120.32000
S091000604002,高雄市,合法,自然植被改變,22.83000,120.33000
S051001000006,高雄市,合法,其他,22.66000,120.43000
S111000600030,高雄市,違規,新增建物,22.81000,120.22000
S111000600026,高雄市,違規,新增建物,22.83000,120.22000
S111000600025,高雄市,違規,新增建物,22.84000,120.22000
S191000600011,高雄市,合法,整地,22.88000,120.22000
2061000600002,第六河川局,合法,整地,22.92000,120.23000
S181001200003,高雄市,違規,新增建物,22.76000,120.25000
S161000604001,高雄市,合法,自然植被改變,22.89000,120.27000
S091000800014,高雄市,合法,新增建物,22.81000,120.28000
S091000600073,高雄市,合法,其他,22.83000,120.31000
S171000800017,高雄市,合法,整地,22.77000,120.36000
S061001000009,高雄市,違規,新增建物,22.59000,120.39000
S061001000011,高雄市,違規,新增建物,22.54000,120.41000
S101000600007,高雄市,合法,新增水域(漁塭或水塘),22.89000,120.21000
S161001200002,高雄市,合法,新增建物,22.84000,120.24000
S171000600080,高雄市,合法,新增建物,22.75000,120.36000
S081000600044,高雄市,合法,其他,22.53000,120.42000
S061000800006,高雄市,違規,新增建物,22.62000,120.43000
S111000600034,高雄市,合法,其他,22.80000,120.24000
S161000600053,高雄市,合法,新增建物,22.86000,120.27000
S091001200008,高雄市,合法,整地,22.78000,120.28000
S091000600076,高雄市,合法,作物變化,22.81000,120.31000
S171001004004,高雄市,合法,新增建物,22.78000,120.35000
S081001000013,高雄市,違規,其他,22.52000,120.41000
S141001000016,高雄市,合法,整地,22.85000,120.42000
S161000600016,高雄市,合法,新增水域(漁塭或水塘),22.86000,120.23000
S191000600010,高雄市,合法,新增水域(漁塭或水塘),22.88000,120.23000
