變異點編號,權責單位,查證結果,變異類型,latitude,longitude
H1111005072,桃園市,違規,傾倒廢棄物、土,25.00515,121.02970
H1111009010,桃園市,違規,新增建物,24.96769,121.06425
H1211008059,桃園市,違規,其他,25.02087,121.07431
H1111006014,桃園市,違規,新增建物,24.96312,121.07520
H1211011069,桃園市,違規,新增建物,25.00886,121.07698
H1111007018,桃園市,違規,其他,24.97297,121.08456
H0411009018,桃園市,違規,新增建物,24.93601,121.08552
H1111009003,桃園市,違規,新增建物,24.97436,121.08761
H0411008011,桃園市,合法,其他,24.95302,121.08950
H1111007005,桃園市,違規,整地,24.99388,121.09005
H0411003019,桃園市,違規,移除建物,24.90384,121.09089
H1111007019,桃園市,違規,新增建物,24.96634,121.11088
21511008016,桃園市,合法,其他,24.90881,121.11560
H0411007034,桃園市,合法,其他,24.91692,121.11706
H0411009028,桃園市,違規,新增建物,24.92313,121.11951
H1211012052,桃園市,合法,其他,25.06825,121.12253
H1211002052,桃園市,合法,整地,25.03612,121.14017
H1211007058,桃園市,違規,整地,25.06107,121.14390
H1211009076,桃園市,違規,新增建物,25.00519,121.16162
AH0411012015,桃園市,合法,其他,24.88972,121.16923
H0411001012,桃園市,違規,移除建物,24.95350,121.17232
H0311010076,桃園市,合法,新增建物,25.00628,121.17264
H0311007011,桃園市,違規,其他,24.97986,121.17318
H0611011066,桃園市,違規,新增建物,25.04720,121.17970
H0611007059,桃園市,違規,其他,25.04878,121.17980
AH0911001027,桃園市,違規,其他開挖整地,24.85948,121.18030
21511001045,桃園市,合法,其他,24.93076,121.18606
21511001055,桃園市,合法,其他,25.04692,121.19408
AH0911002018,桃園市,違規,其他開挖整地,24.83276,121.19551
H0611006074,桃園市,合法,作物變化,25.02934,121.19569
H1011002026,桃園市,違規,傾倒廢棄物、土,24.88981,121.19600
AH0911012021,桃園市,合法,非農業核准開發案件,24.83156,121.19826
H1011008026,桃園市,違規,新增建物,24.91155,121.21316
21511001056,桃園市,合法,已取得出流管制計畫書核定函,25.02404,121.21849
H0311002058,桃園市,合法,其他,25.00254,121.21899
H0611001044,桃園市,合法,自然植被改變,25.03756,121.22272
H1011003025,桃園市,違規,其他,24.89695,121.22440
H0911005045,桃園市,違規,新增建物,24.83446,121.22737
H0911003028,桃園市,違規,其他,24.86670,121.22811
H0911003030,桃園市,違規,新增建物,24.84383,121.23111
H0611002059,桃園市,合法,其他,25.01580,121.24211
H1011012029,桃園市,違規,新增建物,24.90878,121.24494
H0611004047,桃園市,違規,新增建物,25.06985,121.24653
21011009001,第十河川局,合法,其他,24.83174,121.25638
21011007001,第十河川局,合法,其他,24.83593,121.25733
H0511009083,桃園市,違規,新增建物,25.00163,121.25780
H0511007103,桃園市,違規,其他,25.00470,121.25849
H0511002076,桃園市,違規,新增建物,25.11563,121.25923
H0511010107,桃園市,違規,整地,25.08581,121.26545
H0111009085,桃園市,違規,其他,24.97582,121.26576
H0511010111,桃園市,違規,新增建物,25.06687,121.26626
H0511009105,桃園市,合法,新增建物,25.04953,121.27563
H0211011095,桃園市,合法,整地,24.85729,121.27780
H0111008089,桃園市,合法,整地,25.01000,121.28431
H0811002065,桃園市,違規,其他,24.96785,121.28760
H0811007084,桃園市,違規,新增建物,24.95771,121.29118
AH0511004002,桃園市,違規,其他開挖整地,25.06861,121.29222
H0211002071,桃園市,違規,整地,24.91308,121.30010
AH0211010001,桃園市,違規,處理廢棄物,24.87920,121.30154
H0811011083,桃園市,違規,新增建物,24.95083,121.31269
AH0211005002,桃園市,合法,自然裸露地,24.83034,121.31837
21511007026,桃園市,違規,未取得出流管制計畫書核定函,24.92567,121.31934
H0811008073,桃園市,違規,其他,24.95581,121.31964
32211011004,桃園市,合法,自然植被改變,24.76185,121.33380
AH1311009024,桃園市,違規,堆積土石,24.84008,121.34852
AH1311002035,桃園市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.77297,121.35426
AH1311008028,桃園市,違規,違規農業使用,24.79888,121.35658
AH1311004025,桃園市,違規,違規農業使用,24.81125,121.36534
AH1311012052,桃園市,違規,違規農業使用,24.79633,121.36646
AH1311005022,桃園市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.80692,121.36987
AH0711002028,桃園市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),25.00485,121.37068
AH1311001071,桃園市,違規,違規農業使用,24.81578,121.39113
AH1311001075,桃園市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.68789,121.41767
H1111005002,桃園市,違規,新增建物,24.98102,121.05190
21511010032,桃園市,無法辨識變異點位置,,25.02176,121.06123
H1211007062,桃園市,違規,其他,25.02631,121.06621
H0411007031,桃園市,違規,新增建物,24.91657,121.07558
H1111011011,桃園市,違規,傾倒廢棄物、土,24.95735,121.10870
H1111011005,桃園市,違規,其他,24.97807,121.11010
H1211011071,桃園市,違規,傾倒廢棄物、土,25.02160,121.11010
H0411006025,桃園市,違規,新增建物,24.93254,121.11788
21511005036,桃園市,違規,其他,25.03602,121.13046
H0411005029,桃園市,違規,其他,24.93758,121.14541
H0411002018,桃園市,違規,傾倒廢棄物、土,24.94369,121.14552
H1111008014,桃園市,合法,新增建物,24.96064,121.14685
AH0411006011,桃園市,違規,違規農業使用,24.88222,121.14686
H1211012060,桃園市,違規,新增建物,25.04803,121.16155
AH0911003008,桃園市,違規,堆積土石,24.84717,121.16728
H0311005007,桃園市,合法,作物變化,24.99374,121.16954
H0611006061,桃園市,合法,作物變化,25.07272,121.18272
H1011004025,桃園市,違規,傾倒廢棄物、土,24.94316,121.18453
AH0911001028,桃園市,合法,其他,24.87321,121.19451
80111007017,桃園市,違規,新增建物,25.09703,121.19601
H0611012061,桃園市,合法,作物變化,25.03892,121.19674
AH0911012019,桃園市,違規,其他開挖整地,24.86220,121.19675
H0911009035,桃園市,違規,新增建物,24.88616,121.20375
H0611008045,桃園市,合法,整地,25.06784,121.20630
H1011006036,桃園市,違規,新增建物,24.92233,121.21504
H0311010011,桃園市,違規,新增建物,24.98850,121.22772
H0911009044,桃園市,違規,其他,24.85316,121.23819
H0911011052,桃園市,違規,新增建物,24.84301,121.24198
AH0911001037,桃園市,合法,自然裸露地,24.81933,121.24219
H0511009066,桃園市,違規,整地,25.03139,121.24365
H0611009046,桃園市,合法,新增建物,25.11287,121.24648
