變異點編號,權責單位,查證結果,變異類型,latitude,longitude
O0211008003,新竹市,合法,新增建物,24.82318,120.91768
AO0211008002,新竹市,合法,非農業核准開發案件,24.74648,120.92424
AO0211011005,新竹市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.74659,120.93447
AO0211005001,新竹市,合法,其他,24.77901,120.95111
AO0111006011,新竹市,合法,其他,24.78763,120.99133
O0211004005,新竹市,合法,其他,24.80437,120.91545
AO0211008001,新竹市,合法,其他,24.77820,120.92101
O0211008001,新竹市,合法,整地,24.74490,120.92554
O0311008002,新竹市,合法,自然植被改變,24.82821,120.96210
O0211011001,新竹市,合法,其他,24.82658,120.91223
O0211003010,新竹市,違規,自然植被改變,24.76991,120.91795
AO0211001004,新竹市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.73705,120.93199
AO0211003009,新竹市,合法,其他,24.73352,120.93901
AO0211003008,新竹市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.74982,120.95580
O0211008006,新竹市,違規,新增建物,24.75291,120.90974
AO0211007003,新竹市,合法,其他,24.73046,120.92812
O0111010006,新竹市,違規,新增建物,24.80596,121.01505
O0211005002,新竹市,違規,新增建物,24.73779,120.88954
AO0211003001,新竹市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.77790,120.92061
AO0211003003,新竹市,合法,治山防災工程,24.76409,120.92071
O0211008005,新竹市,合法,作物變化,24.80108,120.93701
202110043002,第二河川局,合法,其他,24.84732,120.94052
O0311011004,新竹市,合法,其他,24.81150,120.94839
O0311002002,新竹市,合法,新增建物,24.82580,120.91171
O0211011002,新竹市,合法,整地,24.81290,120.91519
O0211003006,新竹市,合法,其他,24.80229,120.91675
AO0211005003,新竹市,合法,其他,24.76834,120.91860
O0211010001,新竹市,合法,其他,24.80161,120.91982
O0211009003,新竹市,合法,整地,24.72403,120.92739
O0211006002,新竹市,合法,其他,24.74731,120.92826
AO0211011006,新竹市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.72493,120.93542
AO0211005005,新竹市,合法,其他,24.74646,120.93772
AO0211003002,新竹市,違規,堆積土石,24.78283,120.93926
AO0211006007,新竹市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.74914,120.94441
AO0111010002,新竹市,合法,其他,24.76768,120.97787
O0111010005,新竹市,違規,新增建物,24.82040,120.98271
O0211010002,新竹市,違規,其他,24.80730,120.92149
AO0211001002,新竹市,合法,其他,24.76764,120.93511
O0311005003,新竹市,違規,新增建物,24.81420,120.94615
AO0111010001,新竹市,合法,其他,24.77871,120.96626
AO0111004001,新竹市,違規,開發建築用地,24.75701,120.96641
202110083011,第二河川局,合法,整地,24.82819,120.97776
O0311003003,新竹市,合法,其他,24.82757,120.92098
O0211009002,新竹市,合法,整地,24.74429,120.92607
AO0211004002,新竹市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.75836,120.93200
AO0211009002,新竹市,合法,其他,24.79177,120.94715
AO0111011002,新竹市,合法,其他,24.76652,120.96552
202110033001,第二河川局,已知工程,工程施作,24.82183,120.99076
O0111009010,新竹市,違規,新增建物,24.80594,121.01503
O0211002001,新竹市,合法,其他,24.73551,120.88345
O0211003005,新竹市,違規,整地,24.81930,120.91292
O0211010003,新竹市,合法,其他,24.79918,120.91485
21511001041,新竹市,合法,其他,24.84328,120.91991
O0111003008,新竹市,合法,整地,24.81898,120.98492
