year,新北市,桃園市,新竹縣,臺南市
111,1,1,3,1
110,1,3,1,2,2,1
109,3,4,1,1
108,1,1,1,3,2,1,1
107,1,1,1,1
106,1,1,2
105,1,1,1,1
103,1
