year,新北市,桃園市,新竹縣,苗栗縣,臺中市,南投縣,彰化縣,雲林縣,屏東縣,臺東縣
111,3,3,1,3,9,12,1,2,1,1
110,3,7,4,3,14,14,5,2,3,4,1,1,1
109,6,4,5,6,10,2,8,2,3,4,3
108,2,1,8,3,9,13,5,1,4,6
107,2,1,1,1,3,7,1,4,4,1,5,8
106,1,3,3,4,8,3,2,4
105,1,2,5,12,5,9,3,4,2,1,2
104,1,1,19,1,1,3,8
103,1,1,18,1,3,1
