year,新北市,桃園市,臺中市,南投縣,宜蘭縣,花蓮縣,臺東縣
111,1,1,1,1,3,1,1
110,1,2,4,1,3,5,7,6,5,2,2,1
109,1,4,3,4,2,3,1,3,9
108,2,6,7,1,5,15,3,3,15,2
107,6,1,1,1,22,7,11,5,9,49,14
106,2,1,1,7,21,1,6,1,4,7,43,11,3
105,2,1,7,12,1,1,5,19,8,68,14
104,3,3,1,3,3,1,4,3
103,2,1,3,1,9,2,4,2
102,1
101,6,1,1,6,2,1
99,1,2,1
98,2,1,1,3,2,1
97,1,3,1,1,1
