year,新北市,桃園市,嘉義縣,臺東縣,連江縣
111,1,1,1,2,1
110,1,1,3,1,1
109,2,3,2,1,1,2
108,1,1
107,1,1,1,1
106,1,2,2,4,1,1,2,1,1,2
105,5,2,1,2,1,1,2
104,5,2,2,1,4,2,1,2
103,6,1,2,1,8,2,2,1
102,6,1,1,4,1,1,1
101,4,2,1,3,1,1,1
100,1,3,4,1,3,3
99,2,4,1,2,1
98,4,2,1,2,1
97,2,7,4,2,3,1
