year,基隆市,新北市,苗栗縣,臺中市,南投縣,高雄市,宜蘭縣,臺東縣
111,1,2,7,2,23,2,1,6
110,2,2,2,2,9,1,57,2,1,1,7,1,7
109,1,3,6,2,2,43,1,2,12
108,6,1,4,1,2,22,1,2,1,1,2,1,1,28
107,2,4,1,3,7,22,1,2,5,6,13
106,2,1,1,18,3,2,6
105,1,2,5,10,1,1,1,1,6
104,1,3,2,29,1,1,1,10
103,2,4,1,6,1,8
