year,新北市,桃園市,新竹縣,苗栗縣,臺中市,南投縣,彰化縣,嘉義縣,臺南市,屏東縣,花蓮縣,臺東縣
111,11,11,3,28,8,24,2,1,5,5,4,6
110,9,17,7,45,16,67,12,3,7,17,6,4,7,7
109,4,5,5,72,30,65,14,13,4,7,16
108,1,7,2,5,44,15,33,4,3,4,9,1,5,3,9,22
107,3,2,2,52,6,31,1,3,1,1,7,2,7,4,6,3
106,4,2,6,55,11,32,2,8,11,3,4,5
105,3,2,44,4,11,4,3,3,3,4
104,2,5,6,4,1,5
