year,桃園市,新竹縣,苗栗縣,高雄市,屏東縣
110,1,4,8,2,1
109,7,14,1,3,2
108,12,10,1,1,7
107,13,3,1,1,2,1,2,1,2
106,9,5,2,2,1
105,12,1,9,1,2
104,1,3
