year,新北市,桃園市,新竹縣,臺中市,南投縣,彰化縣
111,4,3,2,1,1,1
110,2,2,1,1,5,1,1,1,1,1
109,6,1,2,3,2,2,1
108,3,3,2,1,2
107,1,1,1,1,1,1
106,1,1,1,2,1
105,4,1,1
104,2
103,2
