year,苗栗縣,南投縣,臺東縣
111,4,1,4
110,2,2,1,1,1,5,2
109,2,1,1,1,4,8,7,1
108,2,1,6,1,4,1,5,1,2,3,12
107,1,6,1,3,10,7,5,5
106,1,1,3,8,3,2,1,25,11
105,1,6,1,1,17,2
104,3,4,1,2,2,3
103,1,4,1
