變異點編號,權責單位,查證結果,變異類型,latitude,longitude
R1610503009,臺南市,違規,其他,23.23293,120.12167
D0610501056,臺南市,合法,移除水域(漁塭或水塘),23.03931,120.16208
R1210501032,臺南市,合法,整地,23.14635,120.18190
D0210502003,臺南市,違規,新增建物,22.93773,120.18995
D0210501014,臺南市,違規,新增建物,22.94305,120.19388
D0210501007,臺南市,違規,新增建物,22.95250,120.19407
R0210501068,臺南市,合法,整地,23.27458,120.23142
R2710502006,臺南市,違規,新增建物,22.94665,120.24374
205105105001,第五河川局,合法,其他,23.25739,120.25277
R2710501076,臺南市,合法,其他,22.96120,120.26850
R2810501077,臺南市,違規,新增建物,22.95650,120.27544
R1010501099,臺南市,違規,其他,23.21535,120.28831
R0110502026,臺南市,合法,整地,23.32117,120.31953
R2910505036,臺南市,合法,整地,22.90861,120.33565
AR2910505052,臺南市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.94899,120.33624
R0110505061,臺南市,合法,新增建物,23.31829,120.34030
R2910503031,臺南市,合法,整地,22.90545,120.34106
205105111004,第五河川局,合法,整地,23.31383,120.34358
AR1810504020,臺南市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),23.03930,120.35510
205105110003,第五河川局,合法,其他,23.40126,120.35785
AR3010506033,臺南市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.93617,120.35997
AR3010503042,臺南市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.91390,120.36082
AR2910506053,臺南市,合法,治山防災工程,22.90327,120.36178
AR1110503007,臺南市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),23.11498,120.37437
AR3010502024,臺南市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.99208,120.37744
AR2610505062,臺南市,合法,其他,23.02616,120.38054
35410501002,嘉義林區管理處,合法,其他,23.05529,120.38363
AR2610506055,臺南市,合法,自然裸露地,23.05085,120.39410
R0310501132,臺南市,合法,作物變化,23.38980,120.42401
AR0310501033,臺南市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),23.34451,120.44298
AR0310502016,臺南市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),23.31066,120.46362
AR0310502017,臺南市,違規,違規農業使用,23.31016,120.49394
D0610501053,臺南市,合法,新增建物,23.04748,120.09078
R1410501036,臺南市,合法,新增建物,23.10186,120.14128
R1610501070,臺南市,合法,自然植被改變,23.26839,120.14859
D0210501012,臺南市,合法,整地,22.93696,120.18266
D0210503005,臺南市,違規,新增建物,22.93794,120.19001
R1310506005,臺南市,違規,新增建物,23.13861,120.20306
R3110505019,臺南市,違規,傾倒廢棄物、土,23.04457,120.23057
R2710502007,臺南市,合法,自然植被改變,22.93950,120.24655
R2710503001,臺南市,違規,新增建物,22.97424,120.25139
R2110502023,臺南市,合法,整地,23.12190,120.26274
R0810503033,臺南市,違規,新增建物,23.20899,120.26687
R2810502013,臺南市,合法,新增水域(漁塭或水塘),22.94528,120.27394
R2810503027,臺南市,合法,移除水域(漁塭或水塘),22.94528,120.27411
R2810502010,臺南市,違規,新增建物,22.98435,120.27517
R0810501152,臺南市,違規,新增建物,23.25556,120.27615
R0210501139,臺南市,合法,整地,23.33999,120.27760
R0710501103,臺南市,合法,自然植被改變,23.18627,120.28039
206105103005,第六河川局,合法,其他,23.02459,120.28118
80110506002,臺南市,違規,新增建物,23.08709,120.28886
R1810501122,臺南市,合法,整地,23.01191,120.30527
R1910501109,臺南市,合法,傾倒廢棄物、土,23.11141,120.30779
R1810501127,臺南市,合法,整地,23.01811,120.32191
R1810501114,臺南市,違規,新增建物,23.07673,120.34354
AR1810501075,臺南市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),23.01646,120.34524
AR2210506012,臺南市,合法,自然裸露地,23.08549,120.34855
R1010503038,臺南市,合法,整地,23.17426,120.35189
R2910503030,臺南市,違規,其他,22.91377,120.35238
AR3010505027,臺南市,合法,其他,22.94904,120.35531
AR3010502028,臺南市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.92090,120.35732
AR2210501024,臺南市,違規,其他開挖整地,23.08206,120.36200
AR3010506024,臺南市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.99184,120.37859
AR1010506044,臺南市,合法,自然裸露地,23.16807,120.38213
AR1010502029,臺南市,合法,治山防災工程,23.16882,120.39884
AR0610501029,臺南市,違規,違規農業使用,23.29122,120.40549
35410506002,嘉義林區管理處,合法,其他,23.14171,120.43486
R0310501138,臺南市,違規,新增建物,23.37125,120.45779
AR2310501044,臺南市,違規,違規農業使用,23.11411,120.48742
AR0310501040,臺南市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),23.31006,120.48771
D0610505016,臺南市,合法,新增建物,23.05453,120.09130
R1410505006,臺南市,違規,傾倒廢棄物、土,23.09428,120.09800
R1610503008,臺南市,合法,軍事用地,23.24133,120.12831
D0610505017,臺南市,合法,新增建物,23.06966,120.13400
R0710501021,臺南市,合法,自然植被改變,23.20077,120.21135
R2710503003,臺南市,違規,傾倒廢棄物、土,22.96185,120.24018
R2810503014,臺南市,合法,其他,22.99254,120.27958
R2810503020,臺南市,違規,新增建物,22.96504,120.28269
R2810501080,臺南市,合法,作物變化,22.94967,120.28901
206105203007,第六河川局,合法,整地,22.98520,120.29814
R1910501104,臺南市,合法,自然植被改變,23.16971,120.30295
R0510501135,臺南市,合法,整地,23.35425,120.31110
R1810501124,臺南市,合法,作物變化,23.02090,120.31830
AR2910505047,臺南市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.98943,120.32155
80110502001,臺南市,合法,整地,22.92351,120.32918
AR2910505058,臺南市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),23.00140,120.33239
R2910506008,臺南市,合法,整地,22.97707,120.33477
R2910505033,臺南市,違規,新增建物,22.90697,120.33659
R1010503039,臺南市,合法,整地,23.15221,120.34588
206105105003,第六河川局,已知工程,工程施作,23.18362,120.35232
206105105002,第六河川局,合法,其他,22.97433,120.35454
AR2910505056,臺南市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.89474,120.35462
AR1810503051,臺南市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),23.01412,120.35603
AR3010505035,臺南市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.94689,120.37323
AR2610503059,臺南市,違規,違規農業使用,23.05228,120.37908
R2610503042,臺南市,合法,自然植被改變,23.05739,120.37974
AR3010505024,臺南市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),22.99487,120.38449
AR2610501096,臺南市,合法,無道路可到達,23.05217,120.38816
205105105008,第五河川局,合法,其他,23.33685,120.39199
AR1010505041,臺南市,違規,違規農業使用,23.16754,120.39576
AR1110501003,臺南市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),23.15563,120.39942
AR2610505061,臺南市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),23.07422,120.40355
R1010506016,臺南市,合法,其他,23.18389,120.40419
AR3010504012,臺南市,違規,違規農業使用,22.96112,120.40743
AR1110503011,臺南市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),23.11730,120.40775
