villcode,經度,緯度
10008130017,121.18000,24.09000
10008050003,120.77000,23.82000
10008110017,120.82000,23.81000
10008120004,120.85000,23.71000
10008110008,120.85000,23.80000
10008130017,121.18000,24.09000
10008020010,120.98000,23.96000
10008020011,120.98000,23.95000
10008030014,120.66000,23.98000
10008020020,120.94000,23.99000
10008020028,121.00000,23.98000
10008130013,121.08000,23.95000
10008030023,120.76000,23.99000
10008130002,121.00000,23.90000
10008130008,121.09000,23.97000
10008040015,120.72000,23.81000
10008030009,120.65000,23.97000
10008030022,120.78000,23.98000
10008110018,120.85000,23.75000
10008130008,121.09000,23.97000
10008130011,121.15000,24.02000
10008030009,120.65000,23.97000
10008120009,120.89000,23.58000
10008020028,121.00000,23.98000
10008130017,121.23000,24.10000
10008020013,120.96000,23.94000
10008020014,120.96000,23.95000
10008030014,120.65000,23.99000
10008100008,120.81000,24.01000
10008090010,120.90000,23.85000
10008020007,120.96000,23.96000
10008020028,121.00000,23.96000
10008090013,120.94000,23.86000
10008040016,120.72000,23.82000
10008020011,120.98000,23.95000
10008130008,121.10000,23.97000
10008060007,120.70000,23.88000
10008020021,120.93000,23.99000
10008120008,120.89000,23.63000
10008020011,120.97000,23.95000
10008120002,121.01000,23.79000
10008040004,120.67000,23.76000
10008070013,120.80000,23.81000
10008010013,120.70000,23.91000
10008030007,120.70000,23.99000
10008130003,120.97000,24.08000
10008120002,121.02000,23.79000
10020010059,120.46000,23.48000
10020020049,120.45000,23.45000
10020010059,120.46000,23.48000
10020020070,120.44000,23.50000
10020010004,120.45000,23.50000
10020010059,120.46000,23.48000
10020010059,120.46000,23.48000
10020010062,120.45000,23.48000
10020010059,120.46000,23.48000
10010180008,120.72000,23.48000
10010030006,120.18000,23.38000
10010100008,120.27000,23.37000
10010110007,120.30000,23.40000
10010070016,120.39000,23.53000
10010050014,120.50000,23.56000
10010090009,120.17000,23.49000
10010030006,120.18000,23.38000
10010100009,120.22000,23.34000
10010110006,120.31000,23.40000
10010070020,120.32000,23.54000
10010170002,120.64000,23.30000
10010030006,120.18000,23.38000
10010020022,120.23000,23.45000
67000020010,120.27000,23.35000
10010110014,120.33000,23.39000
10010120002,120.40000,23.43000
10010130011,120.51000,23.45000
10010090009,120.17000,23.49000
10010030007,120.18000,23.39000
10010010013,120.36000,23.51000
10010120011,120.38000,23.41000
10010180006,120.75000,23.58000
10010020017,120.27000,23.45000
10010050019,120.43000,23.54000
10010050004,120.43000,23.57000
10010070023,120.34000,23.56000
10010050005,120.42000,23.56000
10010090006,120.17000,23.46000
10010100006,120.22000,23.33000
10010070013,120.35000,23.52000
10010040004,120.45000,23.59000
10010090008,120.18000,23.49000
10010050020,120.39000,23.51000
10010100012,120.19000,23.36000
10010100015,120.20000,23.31000
10010070023,120.34000,23.55000
10010030015,120.20000,23.38000
10010120024,120.49000,23.43000
10010080025,120.23000,23.47000
10010020013,120.28000,23.48000
10010010010,120.33000,23.49000
10010130003,120.51000,23.42000
10010030013,120.19000,23.37000
10010080025,120.23000,23.47000
10010020023,120.25000,23.43000
10010010009,120.35000,23.47000
10010050011,120.38000,23.55000
10010120015,120.42000,23.43000
10010100016,120.18000,23.30000
10010090005,120.18000,23.47000
10010180007,120.74000,23.45000
10010010013,120.36000,23.51000
10010170002,120.64000,23.30000
10010070021,120.32000,23.56000
10010060011,120.43000,23.59000
10010010003,120.35000,23.46000
10010040009,120.44000,23.62000
10010090013,120.21000,23.46000
10010060013,120.42000,23.59000
10010130005,120.50000,23.44000
10010090010,120.20000,23.48000
10010020018,120.25000,23.45000
10010130017,120.52000,23.40000
10010180006,120.75000,23.57000
10010180006,120.75000,23.58000
10010100017,120.17000,23.31000
10010030006,120.18000,23.38000
10010020022,120.23000,23.45000
10010070023,120.33000,23.56000
10010130005,120.51000,23.44000
10010180006,120.75000,23.59000
10010030006,120.18000,23.38000
10010030006,120.18000,23.38000
10010030016,120.22000,23.38000
10010020018,120.25000,23.45000
10010180008,120.72000,23.48000
10010180006,120.75000,23.58000
10010080006,120.31000,23.51000
10010180006,120.75000,23.59000
10010070022,120.33000,23.57000
10010010005,120.34000,23.44000
10010050024,120.47000,23.53000
10002070008,121.67000,24.71000
10002080011,121.77000,24.62000
10002010012,121.77000,24.73000
10002060001,121.79000,24.74000
10002040018,121.81000,24.85000
10002070014,121.70000,24.74000
10002080012,121.76000,24.64000
10002050009,121.78000,24.80000
10002020006,121.80000,24.67000
10002040008,121.83000,24.87000
10002100013,121.68000,24.69000
10002120007,121.70000,24.34000
10002070004,121.76000,24.72000
10002010014,121.76000,24.75000
10002080013,121.77000,24.65000
10002090009,121.79000,24.71000
10002040009,121.83000,24.86000
10002080017,121.78000,24.66000
10002060011,121.78000,24.78000
10002060001,121.79000,24.75000
10002040009,121.83000,24.86000
10002100013,121.68000,24.70000
10002050010,121.77000,24.81000
10002080017,121.78000,24.66000
10002030008,121.82000,24.62000
10002090014,121.83000,24.65000
10002100010,121.72000,24.66000
10002010016,121.78000,24.76000
10002040023,121.79000,24.84000
10002070002,121.71000,24.74000
10002020024,121.76000,24.70000
10002010024,121.76000,24.77000
10002050009,121.80000,24.80000
10002040014,121.82000,24.82000
10002010013,121.77000,24.75000
10002060002,121.79000,24.72000
10002070014,121.70000,24.74000
10002010010,121.76000,24.73000
10002080010,121.78000,24.61000
10002050007,121.78000,24.81000
10002050001,121.78000,24.84000
10002090009,121.80000,24.69000
10002080001,121.81000,24.67000
10002100001,121.58000,24.64000
10002100010,121.72000,24.67000
10002050013,121.77000,24.79000
10002050007,121.78000,24.81000
10002080001,121.80000,24.66000
10002040018,121.81000,24.85000
10002020023,121.76000,24.69000
10002090010,121.80000,24.68000
10002050009,121.80000,24.80000
10002040022,121.80000,24.84000
10002080001,121.81000,24.67000
10002040006,121.84000,24.88000
10002100015,121.71000,24.68000
10002020023,121.76000,24.69000
10002050007,121.78000,24.81000
10002080015,121.76000,24.66000
10002080017,121.78000,24.66000
10002020006,121.79000,24.67000
10002040016,121.82000,24.86000
10002030005,121.85000,24.61000
10002080016,121.77000,24.66000
10002050001,121.79000,24.83000
10002080003,121.81000,24.65000
10002050003,121.77000,24.83000
10002060002,121.78000,24.72000
10002120002,121.79000,24.47000
10002080001,121.80000,24.66000
10002020006,121.80000,24.67000
10002090010,121.80000,24.68000
10002090009,121.80000,24.69000
10002090009,121.80000,24.69000
10002040014,121.82000,24.82000
10002090014,121.83000,24.67000
10002090015,121.83000,24.68000
10002070014,121.70000,24.74000
10002050012,121.76000,24.80000
10002080010,121.78000,24.62000
10002040003,121.90000,24.94000
10002080015,121.76000,24.65000
10002010024,121.76000,24.77000
10002090009,121.80000,24.70000
10002040009,121.83000,24.86000
10002070007,121.69000,24.72000
10002050013,121.77000,24.80000
10002030007,121.84000,24.61000
10002030004,121.85000,24.62000
10002090001,121.78000,24.71000
10002080003,121.80000,24.65000
10002050009,121.80000,24.80000
10002030010,121.84000,24.59000
10002020005,121.78000,24.68000
10002010015,121.78000,24.75000
10002060002,121.79000,24.72000
10002060009,121.80000,24.77000
10002090011,121.81000,24.68000
10002040016,121.82000,24.86000
10002030001,121.83000,24.64000
10002090014,121.83000,24.67000
10002030002,121.84000,24.64000
10002100016,121.69000,24.70000
10002050010,121.77000,24.81000
10002040015,121.82000,24.85000
10002070007,121.69000,24.72000
10002070014,121.70000,24.74000
10002010010,121.76000,24.73000
10002010012,121.77000,24.73000
10002060002,121.78000,24.72000
10002080001,121.81000,24.67000
10002040014,121.82000,24.82000
10013090014,120.48000,22.82000
10013030018,120.49000,22.45000
10013090010,120.55000,22.79000
10013150006,120.58000,22.47000
10013130021,120.62000,22.70000
10013110005,120.62000,22.81000
10013010075,120.44000,22.67000
10013030016,120.48000,22.47000
10013190007,120.49000,22.43000
10013010018,120.49000,22.67000
10013050001,120.50000,22.59000
10013140014,120.51000,22.58000
10013210011,120.53000,22.42000
10013060003,120.53000,22.67000
10013110012,120.62000,22.78000
10013110012,120.62000,22.79000
10013050007,120.49000,22.60000
10013010076,120.51000,22.70000
10013110016,120.59000,22.79000
10013120010,120.61000,22.58000
10013110005,120.62000,22.81000
10013110014,120.63000,22.76000
10013330004,120.87000,22.18000
10013170009,120.45000,22.49000
10013010044,120.46000,22.63000
10013030016,120.48000,22.46000
10013100011,120.54000,22.74000
10013110019,120.59000,22.78000
10013220008,120.37000,22.35000
10013030016,120.48000,22.47000
10013140007,120.54000,22.60000
10013090010,120.55000,22.78000
10013100005,120.57000,22.75000
10013110004,120.58000,22.83000
10013120011,120.60000,22.57000
10013110001,120.60000,22.83000
10013110014,120.63000,22.76000
10013170014,120.44000,22.49000
10013170012,120.45000,22.51000
10013030026,120.47000,22.47000
10013140012,120.52000,22.60000
10013020016,120.53000,22.52000
10013140004,120.54000,22.59000
10013110018,120.56000,22.80000
10013150005,120.61000,22.51000
10013170009,120.45000,22.50000
10013030016,120.48000,22.47000
10013180007,120.49000,22.50000
10013090011,120.50000,22.82000
10013080009,120.51000,22.76000
10013020012,120.53000,22.53000
10013020007,120.55000,22.55000
10013100001,120.56000,22.74000
10013150005,120.61000,22.51000
10013330003,120.86000,22.21000
10013170003,120.46000,22.55000
10013170003,120.46000,22.55000
10013090010,120.55000,22.81000
10013100006,120.56000,22.77000
10013120008,120.60000,22.62000
10013030026,120.47000,22.48000
10013050030,120.49000,22.53000
10013020012,120.52000,22.54000
10013090010,120.55000,22.78000
10013130015,120.62000,22.65000
10013110014,120.62000,22.76000
10013030015,120.46000,22.45000
10013080006,120.46000,22.76000
10013050021,120.49000,22.58000
10013010077,120.52000,22.70000
10013210011,120.53000,22.42000
10013130015,120.59000,22.63000
10013120013,120.61000,22.57000
10013110012,120.62000,22.78000
10013110005,120.62000,22.81000
10013110014,120.63000,22.76000
10013110014,120.63000,22.77000
10013030026,120.47000,22.48000
10013110018,120.57000,22.81000
10013100003,120.58000,22.77000
10013110014,120.64000,22.77000
10013170015,120.44000,22.47000
10013050007,120.50000,22.60000
10013100006,120.56000,22.76000
10013290003,120.63000,22.57000
10013080005,120.47000,22.75000
10013090012,120.50000,22.80000
10013020018,120.55000,22.52000
10013120014,120.62000,22.55000
10013030016,120.47000,22.46000
10013030016,120.47000,22.46000
10013030026,120.47000,22.48000
10013090011,120.53000,22.83000
10013100001,120.56000,22.74000
10013110018,120.56000,22.81000
10013150005,120.57000,22.51000
