year,基隆市,臺北市,新北市,桃園市,新竹縣,新竹市,苗栗縣,臺中市,南投縣,彰化縣,雲林縣,嘉義縣,嘉義市,臺南市,高雄市,屏東縣,宜蘭縣,花蓮縣,臺東縣,金門縣,澎湖縣,連江縣
114,0,1,35,452,97,10,42,110,45,130,71,72,2,255,197,205,74,45,40,88,49,6
113,0,8,59,384,173,15,92,251,120,221,177,206,2,588,301,341,187,149,93,177,103,10
112,0,11,57,345,167,6,100,170,106,173,309,117,2,385,201,313,160,195,80,151,63,11
111,0,4,52,225,74,7,35,177,106,157,182,92,13,579,311,361,219,63,80,90,55,8
110,0,5,59,185,96,16,40,187,90,153,127,131,20,527,355,427,275,53,93,72,46,5
109,1,5,57,147,79,14,66,227,67,280,313,109,1,210,173,306,115,85,150,37,19,2
108,0,3,14,36,37,1,23,75,78,201,163,58,1,136,67,118,88,37,52,32,53,1
107,1,0,18,51,30,2,22,42,35,60,35,20,0,64,55,85,53,6,33,14,16,1
106,0,0,13,57,38,1,31,40,29,35,13,20,2,82,38,22,23,22,16,73,17,0
105,0,1,5,35,12,0,9,25,24,39,38,24,5,74,50,32,4,14,21,15,6,0
104,0,0,9,27,8,1,7,22,13,20,19,9,4,26,22,30,3,20,10,7,6,0
103,0,1,2,97,18,0,4,11,5,31,32,6,2,34,37,34,18,12,6,3,1,1
102,1,1,7,28,13,1,8,1,6,8,18,8,3,7,7,31,9,5,9,3,5,0
101,0,2,7,32,7,1,5,4,6,9,4,8,1,3,7,39,4,5,9,14,12,0
100,0,3,3,13,3,1,0,11,5,48,28,14,0,42,13,10,5,11,3,12,0,1
99,0,2,10,17,6,0,7,5,6,3,10,4,0,19,15,5,5,2,0,8,1,0
98,0,1,4,44,12,1,4,7,11,11,14,8,1,24,14,18,19,5,1,4,1,0
97,0,1,4,14,2,0,3,2,4,7,7,9,0,10,1,4,4,5,9,1,1,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
