year,基隆市,臺北市,新北市,桃園市,新竹縣,新竹市,苗栗縣,臺中市,南投縣,彰化縣,雲林縣,嘉義縣,嘉義市,臺南市,高雄市,屏東縣,宜蘭縣,花蓮縣,臺東縣,金門縣,澎湖縣,連江縣
114,5,1,54,24,34,6,78,10,34,26,0,20,1,4,68,8,2,1,13,0,0,1
113,13,2,106,60,62,11,257,59,192,57,10,96,1,38,165,40,22,6,42,2,0,0
112,7,1,146,54,190,4,217,74,197,44,23,76,2,24,167,30,7,7,42,6,0,0
111,5,4,116,52,53,5,119,89,299,55,22,43,3,24,159,33,11,11,27,0,0,0
110,9,0,156,50,75,5,120,171,221,91,15,91,7,52,226,46,10,7,27,0,0,0
109,3,0,102,28,65,6,162,143,122,37,7,45,2,20,202,49,2,7,25,0,0,0
108,4,0,71,15,56,8,125,82,143,50,7,15,1,25,139,31,13,12,87,0,0,0
107,5,0,51,8,35,5,107,19,64,8,4,1,1,21,94,24,7,5,20,0,0,0
106,5,0,31,14,52,4,96,33,51,9,3,6,0,31,82,14,7,9,20,0,0,0
105,0,0,21,6,60,2,101,25,49,31,0,11,1,9,58,19,1,5,29,0,0,0
104,2,0,33,4,42,0,48,6,35,7,5,4,0,7,18,6,0,3,53,0,0,0
103,1,0,25,5,29,3,19,3,12,8,0,2,0,6,18,12,0,1,28,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
