year,基隆市,臺北市,新北市,桃園市,新竹縣,新竹市,苗栗縣,臺中市,南投縣,彰化縣,雲林縣,嘉義縣,嘉義市,臺南市,高雄市,屏東縣,宜蘭縣,花蓮縣,臺東縣,金門縣,澎湖縣,連江縣
113,0,5,15,95,51,2,47,106,38,212,156,118,12,394,264,292,178,22,24,23,38,0
112,0,1,45,434,174,22,111,182,186,333,275,195,11,390,362,747,301,70,94,44,77,5
111,1,3,54,407,103,3,55,255,234,458,368,337,41,658,453,725,622,87,128,24,38,1
110,0,1,69,416,114,14,52,306,251,394,296,590,80,619,396,585,676,93,115,30,34,3
109,1,0,45,101,100,9,95,271,115,627,509,170,12,386,463,648,130,84,127,28,25,0
108,0,0,8,44,37,5,34,126,68,376,281,60,4,221,132,252,15,94,46,33,22,1
107,0,0,9,40,29,1,28,75,57,126,148,27,3,50,48,203,33,19,31,9,26,1
106,0,0,11,39,40,11,76,59,42,153,44,22,2,84,76,51,5,36,16,38,18,2
105,0,0,5,26,14,2,16,52,29,294,91,31,1,113,77,62,8,42,35,15,18,0
104,0,0,7,8,14,2,7,45,26,210,98,3,1,40,59,81,4,40,26,6,21,0
103,0,0,14,51,12,0,2,31,21,154,101,6,0,45,67,127,15,42,25,8,3,1
102,0,1,14,67,5,2,23,65,11,40,30,29,0,74,15,64,10,4,3,3,6,1
101,1,2,20,111,11,3,8,45,10,53,32,23,0,45,41,53,4,5,12,7,7,0
100,0,1,20,92,19,4,20,29,11,96,105,51,3,127,57,68,30,14,15,3,1,5
99,0,1,31,71,49,11,35,69,23,96,86,49,3,88,72,44,43,23,18,13,5,0
98,0,5,8,140,38,5,9,33,10,59,42,31,2,73,39,52,50,13,5,3,13,0
97,0,0,5,38,15,4,5,22,2,32,48,15,2,37,18,35,20,18,29,2,4,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
