year,基隆市,臺北市,新北市,桃園市,新竹縣,新竹市,苗栗縣,臺中市,南投縣,彰化縣,雲林縣,嘉義縣,嘉義市,臺南市,高雄市,屏東縣,宜蘭縣,花蓮縣,臺東縣,金門縣,澎湖縣,連江縣
114,0,0,0,6,1,0,1,3,1,1,0,2,0,3,0,2,1,2,1,1,0,0
113,0,0,8,14,13,3,6,6,3,7,1,13,0,31,10,17,5,5,13,6,0,0
112,0,0,2,11,6,0,3,2,5,11,9,8,0,22,4,20,3,4,14,7,0,1
111,0,0,1,10,1,1,2,8,2,20,2,4,0,32,16,10,3,12,8,2,1,0
110,0,0,7,14,3,0,0,11,2,6,2,8,0,25,18,12,6,7,9,2,1,0
109,0,0,1,5,6,0,2,3,3,9,11,5,0,5,5,3,1,3,7,4,0,1
108,0,0,1,2,0,0,0,3,2,1,9,0,0,6,2,4,1,5,3,4,1,0
107,0,0,0,0,1,0,0,5,2,0,0,0,0,0,3,1,0,1,0,5,1,0
106,0,0,2,2,1,0,0,3,0,1,1,0,0,2,1,2,1,1,2,11,0,0
105,0,0,0,1,0,0,0,3,0,2,0,0,0,4,0,1,0,4,1,3,2,0
104,0,0,0,1,1,0,1,0,2,3,3,0,0,0,1,0,1,6,3,2,0,0
103,0,0,0,10,2,0,1,1,0,1,2,0,0,1,0,1,0,3,1,2,0,0
102,0,0,1,4,0,0,2,0,0,0,4,0,0,1,0,1,0,0,0,1,1,1
101,0,0,0,3,1,0,0,1,0,0,0,0,0,1,0,3,0,4,2,1,1,0
100,0,0,0,2,0,0,0,0,1,6,2,5,0,2,0,1,0,2,2,0,2,0
99,0,0,0,1,1,1,0,0,0,2,3,1,0,2,0,0,0,1,0,0,1,0
98,0,0,0,5,0,0,0,3,0,1,2,3,0,1,1,1,1,3,1,0,1,0
97,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2,1,0,1,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
