year,基隆市,臺北市,新北市,桃園市,新竹縣,新竹市,苗栗縣,臺中市,南投縣,彰化縣,雲林縣,嘉義縣,嘉義市,臺南市,高雄市,屏東縣,宜蘭縣,花蓮縣,臺東縣,金門縣,澎湖縣,連江縣
113,3,9,59,39,15,7,66,33,58,3,2,15,0,21,1,1,26,28,48,0,0,0
112,6,44,269,131,483,12,377,181,780,17,52,84,0,22,28,23,112,180,277,0,0,0
111,1,41,230,115,244,14,189,146,768,36,33,70,1,151,32,27,105,107,217,1,0,0
110,2,15,284,118,312,16,284,213,938,19,18,186,3,307,25,47,136,149,392,2,0,0
109,3,7,324,158,178,20,450,219,535,21,15,157,4,166,41,86,94,180,292,0,0,0
108,5,21,242,180,199,26,271,173,418,15,38,197,1,160,51,91,182,160,274,0,0,0
107,11,7,174,66,117,15,254,50,303,9,7,104,2,90,32,20,66,61,142,0,0,0
106,3,4,165,41,59,20,253,152,364,9,25,167,3,231,9,13,66,156,145,0,0,0
105,0,3,42,39,88,6,243,125,410,9,3,121,0,225,7,14,53,136,156,0,0,0
104,1,1,9,28,48,1,96,113,321,2,0,78,0,122,0,21,22,125,129,0,0,0
103,0,2,32,1,128,2,52,47,139,2,0,70,0,104,4,9,65,0,69,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
