year,基隆市,臺北市,新北市,桃園市,新竹縣,新竹市,苗栗縣,臺中市,南投縣,彰化縣,雲林縣,嘉義縣,嘉義市,臺南市,高雄市,屏東縣,宜蘭縣,花蓮縣,臺東縣,金門縣,澎湖縣,連江縣
114,0,0,1,16,5,0,3,9,4,23,6,3,0,11,6,8,4,11,1,4,3,0
113,0,0,26,94,62,7,50,118,81,162,153,93,7,159,53,107,32,72,38,6,8,1
112,0,0,26,87,36,9,39,58,90,157,127,85,1,67,66,137,34,84,62,18,6,3
111,0,5,21,42,28,1,29,48,92,122,124,44,1,132,110,168,35,45,66,17,9,2
110,1,0,32,29,46,3,30,85,116,98,54,33,4,172,146,266,107,35,88,25,8,0
109,1,0,21,33,41,1,70,100,79,234,159,34,2,79,113,166,45,49,112,12,1,0
108,0,0,3,4,49,0,26,41,45,122,77,37,0,75,38,55,42,19,46,14,2,1
107,0,0,13,57,31,0,61,22,16,26,23,24,1,28,20,32,13,11,14,16,0,1
106,0,0,3,28,23,1,27,15,16,16,17,12,1,74,37,17,7,21,9,15,2,0
105,0,0,0,3,4,1,14,13,13,74,54,33,0,34,25,60,3,13,13,5,0,0
104,0,0,1,4,4,2,1,8,11,21,41,1,1,19,19,39,1,9,16,1,2,0
103,0,1,0,28,8,0,0,2,6,55,48,8,1,22,23,31,17,22,12,3,1,0
102,0,0,0,11,0,0,6,1,9,6,18,9,0,4,1,27,17,12,4,0,2,0
101,0,0,1,8,5,0,3,6,4,3,3,2,0,1,3,20,3,5,7,2,1,0
100,0,0,0,2,1,0,0,2,6,3,21,0,0,11,2,3,3,2,0,0,0,0
99,0,0,0,1,0,0,1,1,6,1,1,3,0,5,2,4,5,0,2,0,0,0
98,0,0,1,9,10,0,1,0,5,4,10,0,0,5,4,7,2,0,1,0,0,0
97,0,1,2,8,1,1,0,1,1,4,0,3,0,4,0,9,6,5,8,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
