變異點編號,權責單位,查證結果,變異類型,latitude,longitude
R1411105048,臺南市,違規,傾倒廢棄物、土,23.09575,120.06950
R1411102079,臺南市,違規,其他,23.10293,120.08842
D0611101098,臺南市,違規,傾倒廢棄物、土,23.05488,120.09788
D0611104095,臺南市,違規,移除水域(漁塭或水塘),23.04200,120.10130
D0611103122,臺南市,違規,新增建物,23.05427,120.10549
R1411106046,臺南市,合法,整地,23.15957,120.10866
R1411110066,臺南市,合法,其他,23.14561,120.11045
D0611108025,臺南市,合法,作物變化,23.05618,120.11317
10711104005,台江,合法,其他,23.02503,120.11406
D0611105066,臺南市,違規,傾倒廢棄物、土,23.06415,120.11591
21511110007,臺南市,合法,其他,23.25645,120.11638
D0611106140,臺南市,合法,自然植被改變,23.04155,120.12883
D0611109044,臺南市,違規,傾倒廢棄物、土,23.06848,120.13116
D0611107071,臺南市,違規,移除水域(漁塭或水塘),23.07179,120.13750
D0611104073,臺南市,違規,移除水域(漁塭或水塘),23.07180,120.13787
R1411105024,臺南市,合法,自然植被改變,23.18713,120.13802
D0611105069,臺南市,違規,傾倒廢棄物、土,23.05097,120.13830
R1511102046,臺南市,合法,自然植被改變,23.21774,120.15892
D0611110020,臺南市,違規,傾倒廢棄物、土,23.04630,120.15988
D0611105089,臺南市,違規,傾倒廢棄物、土,23.04623,120.15992
D0611101114,臺南市,合法,河道變化,23.06305,120.16830
R1311110089,臺南市,合法,自然植被改變,23.10356,120.17723
206111093001,第六河川局,合法,其他,22.91324,120.17776
D0611104050,臺南市,違規,移除水域(漁塭或水塘),23.07798,120.17845
R1311105051,臺南市,違規,其他,23.09029,120.17987
20611110018,第六河川局,不屬於其管轄範圍,其他,23.09137,120.18214
D0211107008,臺南市,違規,新增建物,22.94713,120.18414
D0611106144,臺南市,違規,傾倒廢棄物、土,23.03340,120.18658
D0211108085,臺南市,違規,傾倒廢棄物、土,22.92293,120.18805
R1211105026,臺南市,合法,傾倒廢棄物、土,23.15240,120.18835
R1211103055,臺南市,合法,其他,23.16562,120.18922
20611107022,第六河川局,不屬於其管轄範圍,其他,23.09508,120.19081
R1711106036,臺南市,合法,自然植被改變,23.23515,120.19113
R1211101028,臺南市,合法,整地,23.20421,120.19406
D0211102010,臺南市,合法,整地,22.94503,120.19694
R0711111006,臺南市,違規,其他,23.20250,120.20054
R2711110216,臺南市,違規,新增建物,22.92186,120.21398
