year,新竹縣,臺中市,南投縣,彰化縣,宜蘭縣
111,1,2,10,1,2
110,3,2,1,2,19,1,4,1
109,2,2,2,12,2,2,1
108,3,3,1,8,2
107,1,1,1,2,2,12,1,2,2
106,1,1,4,1,1
105,1,2,4,1,1,1
