year,基隆市,臺北市,新北市,桃園市,新竹縣,新竹市,苗栗縣,臺中市,南投縣,彰化縣,雲林縣,嘉義縣,嘉義市,臺南市,高雄市,屏東縣,宜蘭縣,花蓮縣,臺東縣,金門縣,澎湖縣,連江縣
111,0,1,27,201,59,2,30,130,118,233,190,201,20,365,239,355,334,26,72,16,15,1
110,0,1,69,416,114,14,52,307,253,394,297,592,80,621,396,604,676,94,116,33,34,3
109,1,0,45,101,100,9,95,272,120,628,510,172,12,386,464,661,131,85,132,29,25,0
108,0,0,8,44,37,5,35,133,70,385,281,61,4,221,132,265,16,97,46,33,22,1
107,0,0,9,40,29,1,28,76,57,126,148,29,3,52,49,209,33,19,32,10,26,1
106,0,0,11,39,40,11,76,60,47,153,44,22,2,84,76,52,5,39,16,41,18,2
105,0,0,5,26,14,2,16,57,36,294,92,33,1,113,81,63,8,42,36,21,18,0
104,0,0,7,8,14,2,8,48,29,210,100,3,1,40,61,81,4,43,26,6,21,0
103,0,0,14,52,12,0,2,32,20,155,101,11,0,46,67,131,15,42,25,9,3,1
102,0,1,15,68,5,2,24,66,11,40,30,30,0,74,15,70,10,4,3,4,6,1
101,1,2,25,112,11,3,11,45,11,53,32,28,0,45,41,53,4,6,12,7,7,0
100,0,1,21,93,20,4,20,32,11,103,105,54,3,133,57,68,30,15,15,4,1,5
99,0,2,34,72,49,11,35,77,23,98,86,50,3,88,73,45,43,27,18,13,5,0
98,0,5,8,141,39,5,9,36,13,61,42,33,2,73,41,53,50,14,5,3,13,0
97,0,0,6,38,15,4,5,22,2,32,48,15,2,37,18,37,20,18,29,2,4,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
