year,臺南市,高雄市
111,1,2
110,1,1,2,1,1,1,2
109,2,1,1,9,1,1,2
108,2,2,1,1,6,4,1
107,2,1,2,1,2
106,5,2,2,6,2
105,2,1
104,1,1
103,2,2,1,1,1
101,1
100,1,1,2
99,1
98,1
97,1,1,2
96,1
