year,基隆市,臺北市,新北市,桃園市,新竹縣,新竹市,苗栗縣,臺中市,南投縣,彰化縣,雲林縣,嘉義縣,嘉義市,臺南市,高雄市,屏東縣,宜蘭縣,花蓮縣,臺東縣,金門縣,澎湖縣,連江縣
111,2,0,9,14,3,1,17,10,4,12,15,11,0,111,18,59,26,7,8,1,1,2
110,2,0,18,46,26,6,6,20,21,43,111,41,0,190,43,228,44,31,15,5,4,0
109,1,2,15,38,24,4,13,15,17,87,282,11,0,70,36,143,36,20,40,2,6,0
108,0,2,6,9,7,5,18,21,11,41,80,17,0,37,26,76,21,17,16,7,6,0
107,0,0,5,33,4,3,12,14,10,17,18,38,0,17,45,35,10,37,69,4,2,0
106,0,0,5,22,7,1,19,20,43,7,14,21,0,33,90,43,7,29,16,13,4,0
105,0,0,2,6,6,0,8,24,33,7,29,12,0,19,15,11,5,26,17,6,4,0
104,0,0,2,4,2,1,3,7,10,10,21,6,0,8,9,13,1,10,6,0,9,0
103,0,0,1,31,5,0,2,3,7,28,5,5,0,18,7,16,8,17,0,1,2,0
102,0,0,2,6,3,0,1,0,1,0,0,3,0,0,1,12,0,3,1,0,5,0
101,0,0,4,23,3,0,2,3,1,1,1,0,0,0,7,15,1,1,0,2,11,0
100,0,0,0,6,3,0,0,2,1,0,4,5,0,7,5,3,0,0,2,6,0,2
99,0,0,0,6,2,0,0,7,0,0,1,2,0,3,5,2,0,2,2,0,0,0
98,0,0,0,13,0,0,0,1,1,1,2,1,0,2,0,5,2,1,2,0,2,0
97,0,0,0,2,0,0,0,1,1,0,1,1,0,3,1,1,0,4,3,0,2,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
