year,基隆市,臺北市,新北市,桃園市,新竹縣,新竹市,苗栗縣,臺中市,南投縣,彰化縣,雲林縣,嘉義縣,嘉義市,臺南市,高雄市,屏東縣,宜蘭縣,花蓮縣,臺東縣,金門縣,澎湖縣,連江縣
111,0,8,13,17,20,1,15,22,51,53,54,6,0,89,65,121,20,14,44,11,6,1
110,1,2,33,29,48,3,31,85,121,98,55,40,4,172,148,292,108,38,88,25,8,0
109,1,1,22,33,43,1,71,117,96,234,159,37,2,79,115,188,48,55,118,12,1,0
108,0,4,7,4,60,0,27,49,59,122,77,46,0,79,43,85,46,33,50,15,2,1
107,0,2,15,57,32,0,61,24,19,26,23,28,1,30,28,55,13,25,16,16,0,1
106,0,0,3,28,23,1,27,22,40,16,18,23,1,76,41,26,7,27,11,20,2,0
105,0,0,0,3,6,1,14,19,69,74,57,38,0,38,33,81,3,22,13,5,0,0
104,0,0,1,6,4,2,1,9,43,21,42,15,1,21,24,50,1,17,17,1,2,0
103,0,1,0,28,8,0,0,2,18,55,49,8,1,24,24,34,17,23,12,3,1,0
102,0,0,0,11,0,0,8,1,12,6,18,11,0,4,1,30,17,12,4,0,2,0
101,0,0,5,8,5,0,3,6,5,3,3,5,0,2,4,23,3,5,7,3,1,0
100,0,0,0,2,1,0,0,2,7,3,24,1,0,17,3,3,3,2,0,0,0,0
99,0,0,0,1,1,0,1,2,6,2,1,3,0,7,2,4,5,0,2,0,0,0
98,0,0,1,9,10,0,1,0,6,7,10,6,0,6,5,7,2,0,2,0,0,0
97,0,1,2,9,1,1,0,1,1,4,0,3,0,4,0,9,6,5,8,1,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
