year,基隆市,臺北市,新北市,桃園市,新竹縣,新竹市,苗栗縣,臺中市,南投縣,彰化縣,雲林縣,嘉義縣,嘉義市,臺南市,高雄市,屏東縣,宜蘭縣,花蓮縣,臺東縣,金門縣,澎湖縣,連江縣
111,0,3,35,102,43,8,19,85,58,69,105,71,8,337,171,224,139,21,34,44,19,1
110,0,6,93,189,100,17,74,192,134,159,138,146,20,557,391,474,287,68,107,82,47,5
109,1,8,78,151,91,14,114,242,84,292,320,152,2,247,204,327,133,114,170,48,19,2
108,0,3,32,38,38,1,56,83,87,209,171,80,1,162,82,135,93,46,55,46,53,1
107,1,0,23,64,32,3,26,51,49,65,51,36,0,79,71,99,64,11,36,16,16,1
106,0,1,23,65,38,1,34,46,40,35,24,35,4,95,47,27,27,30,18,81,17,0
105,0,1,7,45,12,0,11,28,34,44,57,56,7,122,59,41,8,30,21,16,6,0
104,0,0,27,28,10,1,19,27,26,30,26,25,5,43,31,45,4,30,12,7,6,0
103,0,1,3,97,18,0,4,13,7,31,33,12,2,35,38,37,19,12,6,4,1,1
102,1,1,9,29,13,1,10,1,6,8,18,8,3,7,7,35,9,5,11,5,5,0
101,0,2,10,32,7,1,7,5,6,9,4,8,1,3,8,42,4,5,9,14,12,0
100,0,3,5,13,3,1,0,12,5,50,28,14,0,52,17,12,5,11,3,13,0,1
99,0,2,12,18,6,0,9,5,6,3,10,4,0,19,15,8,5,2,0,8,1,0
98,0,1,7,45,12,1,4,9,12,11,15,9,1,25,15,18,19,8,1,5,1,0
97,0,1,9,15,3,0,3,2,5,7,7,10,0,12,1,4,5,5,9,1,1,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
