year,新北市,嘉義縣,臺南市,花蓮縣
111,2,2,1,1
110,1,5,2,2,2,3,2,2,1
109,1,1,1,5,2,1,1,2,1
108,1,5,4,3,1,2,2,3,1,2,1
107,3,1,1,1,2,2,1
106,1,1,2
105,3
104,1,2,1,2
