year,苗栗縣,臺中市,屏東縣,宜蘭縣
111,1,2,8,1
110,1,1,10,4,1,7,1,3,3
109,1,2,1,4,2,14,2
108,1,1,2,4,46,2,8
107,1,17,3,1
106,1,9,6
105,1,1
104,2,11
103,5,4
102,1
101,1,1,2,1
100,1,1,1,1,1,1
99,1,1,2
98,1,1,1,12,1
97,1,1,1
