year,基隆市,臺北市,新北市,桃園市,新竹縣,新竹市,苗栗縣,臺中市,南投縣,彰化縣,雲林縣,嘉義縣,嘉義市,臺南市,高雄市,屏東縣,宜蘭縣,花蓮縣,臺東縣,金門縣,澎湖縣,連江縣
111,22,39,237,178,127,18,327,243,205,111,157,316,15,456,491,318,255,110,167,11,6,2
110,28,52,593,355,477,64,794,514,662,300,247,757,35,1062,1096,964,516,287,391,23,7,0
109,19,27,369,221,516,54,1079,431,337,540,446,360,14,502,926,984,147,399,496,29,16,0
108,45,32,251,79,668,46,692,266,332,388,236,244,8,380,632,681,130,384,488,17,21,1
107,10,4,230,146,485,16,375,186,138,110,94,70,6,128,520,343,111,107,275,6,7,0
106,8,8,121,98,296,33,370,208,408,65,68,56,6,127,304,222,39,305,208,27,21,2
105,1,4,75,75,243,11,426,253,273,104,123,79,3,139,324,392,63,310,247,8,11,0
104,3,4,186,74,98,16,261,159,353,116,113,76,3,70,301,256,21,306,272,7,26,0
103,10,4,90,189,92,7,155,62,141,113,68,48,1,63,203,209,40,120,101,2,6,0
102,0,6,8,16,8,5,9,8,4,39,18,23,0,21,14,41,5,9,10,1,5,2
101,0,6,15,22,7,2,10,6,13,12,12,7,0,10,29,49,4,16,9,10,17,0
100,0,5,9,33,11,0,11,22,8,100,133,137,1,132,31,76,21,21,23,10,9,1
99,0,1,5,14,6,5,12,18,10,27,27,13,0,40,18,27,12,15,3,9,1,0
98,0,0,7,57,26,4,14,14,9,55,70,26,6,60,17,70,30,10,9,5,2,0
97,0,6,8,31,14,7,10,15,14,37,40,22,1,28,12,17,21,18,20,0,4,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
