year,基隆市,桃園市,新竹縣,苗栗縣,臺中市,南投縣,彰化縣,嘉義縣
111,1,4,1,1,3,5,1,1
110,1,4,2,4,25,3,5,6,1,1,1
109,4,2,6,8,5,2,2,1,2,1,4
108,1,7,3,1,4,1,2,2
107,1,3,5,5,1,1,1
106,2,5,1,1,1,1
105,1,3,1
104,1
103,1
