變異點編號,權責單位,查證結果,變異類型,latitude,longitude
P13990500003,雲林縣,合法,其他,23.76000,120.20000
P131000200007,雲林縣,合法,新增建物,23.79000,120.25000
P141000200018,雲林縣,違規,新增建物,23.71000,120.26000
P11991100034,雲林縣,合法,新增建物,23.76000,120.41000
P09990500012,雲林縣,合法,其他,23.78000,120.53000
P01991104005,雲林縣,合法,新增建物,23.74000,120.55000
P161000200010,雲林縣,合法,其他,23.75000,120.23000
P131000200038,雲林縣,合法,新增建物,23.79000,120.26000
P12991100033,雲林縣,違規,新增建物,23.77000,120.35000
P03991100013,雲林縣,合法,道路變化,23.73000,120.47000
P01991104003,雲林縣,合法,其他,23.73000,120.52000
P071000200052,雲林縣,合法,新增建物,23.69000,120.60000
P051000204001,雲林縣,合法,整地,23.73000,120.36000
P121000200047,雲林縣,違規,新增建物,23.76000,120.39000
P03991100014,雲林縣,合法,道路變化,23.73000,120.47000
P01991104010,雲林縣,合法,新增建物,23.71000,120.51000
P011000204004,雲林縣,合法,整地,23.74000,120.55000
P161000200001,雲林縣,違規,新增建物,23.72000,120.20000
P13991100006,雲林縣,合法,新增建物,23.80000,120.22000
P17991100024,雲林縣,合法,整地,23.66000,120.31000
P051000200028,雲林縣,合法,整地,23.66000,120.37000
P05990500004,雲林縣,合法,其他,23.67000,120.38000
P03991100020,雲林縣,合法,新增建物,23.69000,120.41000
P131000200037,雲林縣,合法,其他,23.80000,120.26000
P13990500008,雲林縣,合法,新增建物,23.76000,120.27000
P081000200034,雲林縣,合法,新增建物,23.62000,120.38000
P191000200005,雲林縣,合法,其他,23.61000,120.16000
P121000200012,雲林縣,違規,新增建物,23.75000,120.35000
P05991100009,雲林縣,合法,新增建物,23.74000,120.36000
P051000200026,雲林縣,合法,新增建物,23.69000,120.38000
P07991100039,雲林縣,違規,新增建物,23.62000,120.56000
P011000200049,雲林縣,合法,新增建物,23.74000,120.58000
P08990500006,雲林縣,違規,新增建物,23.63000,120.41000
P02991100021,雲林縣,合法,作物變化,23.68000,120.42000
P01991104011,雲林縣,合法,新增建物,23.71000,120.51000
P07990804006,雲林縣,合法,整地,23.64000,120.52000
P01990500009,雲林縣,合法,新增建物,23.74000,120.55000
P01991100035,雲林縣,合法,新增建物,23.70000,120.59000
P191000200006,雲林縣,違規,新增建物,23.59000,120.17000
P12991100030,雲林縣,違規,新增水域(漁塭或水塘),23.79000,120.35000
P03991100018,雲林縣,合法,新增建物,23.69000,120.41000
P01991104009,雲林縣,合法,整地,23.72000,120.51000
P011000200050,雲林縣,合法,新增建物,23.70000,120.59000
P051000200024,雲林縣,合法,其他,23.67000,120.35000
P081000200030,雲林縣,違規,新增建物,23.66000,120.40000
P011000200051,雲林縣,違規,新增建物,23.68000,120.53000
P20991100003,雲林縣,合法,新增建物,23.56000,120.21000
