變異點編號,權責單位,查證結果,變異類型,latitude,longitude
K031011000001,苗栗縣,合法,其他,24.49000,120.68000
K041010400005,苗栗縣,合法,其他,24.55000,120.84000
K011010400004,苗栗縣,違規,新增建物,24.58000,120.84000
K111010400003,苗栗縣,合法,作物變化,24.62000,120.89000
K111010700017,苗栗縣,合法,新增建物,24.63000,120.89000
K021010700002,苗栗縣,違規,其他,24.39000,120.68000
K041010700007,苗栗縣,合法,其他,24.48000,120.83000
K031020100001,苗栗縣,違規,整地,24.50000,120.68000
K091010700015,苗栗縣,合法,其他,24.66000,120.88000
K021010400001,苗栗縣,合法,其他,24.37000,120.70000
K121010700020,苗栗縣,合法,整地,24.61000,120.81000
3251010700004,新竹林區管理處,合法,整地,24.67000,120.83000
K021010700005,苗栗縣,違規,新增建物,24.37000,120.69000
K021010400002,苗栗縣,合法,其他,24.37000,120.70000
K121010700016,苗栗縣,合法,整地,24.64000,120.81000
K031010700001,苗栗縣,違規,整地,24.48000,120.66000
K051010700009,苗栗縣,合法,其他,24.46000,120.78000
3241010400001,新竹林區管理處,合法,其他,24.51000,120.89000
K051010700008,苗栗縣,合法,新增建物,24.49000,120.81000
3251010700001,新竹林區管理處,合法,整地,24.72000,120.87000
K121010700018,苗栗縣,合法,作物變化,24.61000,120.81000
K021011000002,苗栗縣,違規,新增建物,24.41000,120.65000
3251010700002,新竹林區管理處,合法,新增建物,24.67000,120.81000
K021010700004,苗栗縣,違規,新增建物,24.39000,120.68000
K121010700021,苗栗縣,合法,自然植被改變,24.60000,120.78000
K051010700006,苗栗縣,合法,河道變化,24.50000,120.80000
3251010700003,新竹林區管理處,合法,新增建物,24.66000,120.80000
K021020100002,苗栗縣,合法,新增建物,24.44000,120.63000
K021010700003,苗栗縣,違規,新增建物,24.39000,120.69000
3251020100001,新竹林區管理處,合法,新增建物,24.50000,120.67000
K121010700011,苗栗縣,合法,作物變化,24.66000,120.80000
K031020100003,苗栗縣,合法,其他,24.56000,120.71000
K021011000003,苗栗縣,合法,整地,24.41000,120.69000
K121010700019,苗栗縣,合法,自然植被改變,24.61000,120.81000
