變異點編號,權責單位,查證結果,變異類型,latitude,longitude
W0410802012,金門縣,合法,新增建物,24.45473,118.30467
W0410806009,金門縣,合法,新增建物,24.44135,118.32803
W0110802038,金門縣,合法,新增建物,24.43329,118.44682
W0410801012,金門縣,合法,新增建物,24.43671,118.33360
W0210801022,金門縣,合法,其他,24.51771,118.41298
10610802007,金門,合法,作物變化,24.51532,118.42668
W0110806016,金門縣,合法,整地,24.43805,118.45884
W0310806002,金門縣,合法,整地,24.41906,118.30362
W0410802011,金門縣,違規,新增建物,24.45626,118.30392
W0410803004,金門縣,違規,新增建物,24.44737,118.31381
10610802002,金門,合法,整地,24.48082,118.32344
W0410805010,金門縣,合法,整地,24.46038,118.32688
W0410802026,金門縣,違規,傾倒廢棄物、土,24.47027,118.33271
W0410806005,金門縣,違規,傾倒廢棄物、土,24.42391,118.33814
W0210801015,金門縣,合法,其他,24.46162,118.38458
W0210805012,金門縣,合法,道路變化,24.48360,118.39779
W0410801009,金門縣,合法,新增建物,24.46061,118.32446
10610805002,金門,合法,整地,24.40380,118.32755
W0410802020,金門縣,合法,其他,24.44241,118.34031
W0210805019,金門縣,合法,自然植被改變,24.47286,118.44742
W0210801026,金門縣,合法,作物變化,24.45618,118.44955
W0310802003,金門縣,合法,新增建物,24.42317,118.30358
W0410805003,金門縣,違規,其他,24.44948,118.31088
W0410802014,金門縣,合法,自然植被改變,24.45125,118.32254
W0410806008,金門縣,合法,整地,24.43823,118.33001
W0310805005,金門縣,合法,其他,24.40798,118.33727
10610802004,金門,合法,整地,24.44185,118.35064
10610806003,金門,合法,整地,24.50909,118.43037
10610803002,金門,合法,整地,24.50270,118.43286
W0110802043,金門縣,合法,整地,24.45025,118.44997
W0110802041,金門縣,合法,新增建物,24.44517,118.45217
W0510802002,金門縣,合法,新增建物,24.43972,118.24625
10610805001,金門,合法,整地,24.41178,118.29476
10610806002,金門,合法,整地,24.50974,118.42979
W0510804001,金門縣,合法,整地,24.42995,118.24298
W0510803002,金門縣,合法,作物變化,24.44807,118.25266
W0310802004,金門縣,合法,新增建物,24.42221,118.30391
W0410802013,金門縣,合法,其他,24.45316,118.30473
W0410802021,金門縣,合法,新增建物,24.46094,118.33216
W0410805009,金門縣,合法,整地,24.45546,118.33386
W0410806007,金門縣,合法,新增建物,24.44327,118.33716
W0410803010,金門縣,合法,新增建物,24.45038,118.35265
W0210806017,金門縣,合法,新增建物,24.45071,118.45771
W0310801006,金門縣,合法,其他,24.42041,118.30508
W0410801013,金門縣,合法,整地,24.46460,118.32743
W0110803018,金門縣,合法,整地,24.44452,118.45361
W0210804005,金門縣,合法,新增水域(漁塭或水塘),24.45707,118.46007
W0310801003,金門縣,違規,其他,24.42003,118.31027
W0410803003,金門縣,合法,新增建物,24.44657,118.31701
W02108401001,金門縣,自然變化,無明顯變異,24.51331,118.40273
W0210801028,金門縣,合法,其他,24.47168,118.45162
