變異點編號,權責單位,查證結果,變異類型,latitude,longitude
L1711203012,臺中市,合法,新增建物,24.22847,120.46897
L0611203001,臺中市,合法,整地,24.25285,120.50750
L0611203002,臺中市,違規,新增建物,24.22367,120.53801
L0411202027,臺中市,違規,整地,24.29437,120.56039
L1411202021,臺中市,違規,傾倒廢棄物、土,24.37736,120.59906
L1311202075,臺中市,違規,新增建物,24.34085,120.66612
L0711202036,臺中市,合法,自然植被改變,24.27071,120.67898
L2011202047,臺中市,合法,整地,24.07735,120.69205
20311202026,第三河川局,不屬於其管轄範圍,其他,24.10121,120.70484
20311201004,第三河川局,合法,其他,24.10804,120.71213
L0111201077,臺中市,違規,其他,24.26140,120.74671
L0111202042,臺中市,合法,其他,24.26937,120.75246
AL1811202029,臺中市,違規,其他開挖整地,24.06052,120.75373
20311201024,第三河川局,已知工程,工程施作,24.28227,120.78410
AL1711203062,臺中市,合法,其他,24.18714,120.55018
AL1611201014,臺中市,違規,開發建築用地,24.15781,120.57221
L1411201052,臺中市,違規,傾倒廢棄物、土,24.37426,120.60291
AL0911202022,臺中市,合法,無道路可到達,24.23082,120.60862
L0411201057,臺中市,違規,其他,24.30389,120.62933
L1511201045,臺中市,合法,作物變化,24.03625,120.64300
20311203023,第三河川局,不屬於其管轄範圍,其他,24.03778,120.65610
L0811202030,臺中市,違規,新增建物,24.29771,120.68440
L1811201042,臺中市,違規,其他,24.05805,120.69267
L0111202041,臺中市,違規,其他,24.26375,120.72354
AL1811202026,臺中市,合法,其他,24.05925,120.72861
AL0111201030,臺中市,合法,其他,24.26140,120.74671
AL1811202030,臺中市,合法,其他,24.05196,120.75469
AL1911203040,臺中市,違規,開發建築用地,24.13717,120.80941
L1711201008,臺中市,違規,其他,24.19890,120.50035
L1711202014,臺中市,違規,傾倒廢棄物、土,24.18950,120.52889
L0611202002,臺中市,違規,新增建物,24.23524,120.53452
AL0511202052,臺中市,違規,其他開挖整地,24.19382,120.58556
20311203008,第三河川局,已知工程,工程施作,24.31619,120.59217
AL0511202053,臺中市,合法,其他,24.26317,120.60454
AL1311202006,臺中市,合法,非農業核准開發案件,24.34261,120.67111
L1811201041,臺中市,違規,新增建物,24.05288,120.67729
20311203005,第三河川局,已知工程,工程施作,24.00807,120.70206
L1011201026,臺中市,違規,新增建物,24.20577,120.71374
20311201007,第三河川局,合法,其他,24.35353,120.71577
L0111201016,臺中市,違規,其他,24.23895,120.73384
L0111202072,臺中市,違規,新增建物,24.27350,120.74906
20311201020,第三河川局,合法,改變流路,24.32458,120.75913
203112023012,第三河川局,合法,整地,24.31985,120.76353
AL0211203049,臺中市,違規,整坡作業,24.28776,120.77661
AL1111201051,臺中市,合法,治山防災工程,24.23524,120.79652
L0211201082,臺中市,違規,新增建物,24.30535,120.80509
AL0211202041,臺中市,違規,其他開挖整地,24.23367,120.83803
L0411203031,臺中市,合法,其他,24.31236,120.55049
AL1611201018,臺中市,合法,非農業核准開發案件,24.12763,120.56721
AL0511201047,臺中市,合法,其他,24.19381,120.58554
21511203027,臺中市,合法,"全部納入水土保持計畫內或未納入水土保持計畫內部分未達2公頃 (水利法第83條之7第1項所定一定規模)",24.30065,120.62864
AL1311202014,臺中市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.31754,120.66390
L0811202069,臺中市,合法,整地,24.30965,120.70920
L2011202019,臺中市,合法,整地,24.11028,120.71105
AL1011201033,臺中市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.21280,120.72855
203112013012,第三河川局,已知工程,工程施作,24.28324,120.77679
214112013001,中區水資源局,已知工程,工程施作,24.28324,120.77679
AL1211201056,臺中市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.25338,120.79113
AL0211201034,臺中市,合法,其他,24.29342,120.81833
AL0211201035,臺中市,合法,其他,24.27086,120.83674
AL0211201037,臺中市,合法,其他,24.24210,120.86229
AL0211203057,臺中市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.17259,120.86688
203112023013,第三河川局,已知工程,工程施作,24.32028,120.92095
203112023004,第三河川局,合法,其他,24.15840,120.52597
AL0311201013,臺中市,違規,整坡作業,24.36372,120.64386
L0711202035,臺中市,違規,其他,24.26023,120.65686
L0911201009,臺中市,違規,其他,24.23834,120.65786
L1011201021,臺中市,合法,整地,24.22032,120.67491
AL1311202011,臺中市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.33007,120.69988
20311201035,第三河川局,不屬於其管轄範圍,其他,24.08021,120.70663
L0811201059,臺中市,違規,新增建物,24.29868,120.71068
AL1811202025,臺中市,合法,其他,24.07361,120.72712
B0811202017,臺中市,違規,傾倒廢棄物、土,24.15991,120.74275
214112023001,中區水資源局,已知工程,工程施作,24.28398,120.77913
AL1111201053,臺中市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.20347,120.81429
L0211202079,臺中市,違規,其他,24.26853,120.82211
L0211201078,臺中市,違規,其他,24.22438,120.83568
AL0211201038,臺中市,合法,其他,24.20738,120.84187
AL0211202040,臺中市,合法,其他,24.28106,120.85801
20311201021,第三河川局,合法,其他,24.33474,120.91971
AL1711201041,臺中市,合法,其他,24.20047,120.56385
AL0511201049,臺中市,合法,其他,24.24882,120.58504
L1411203027,臺中市,違規,其他,24.37631,120.60395
L0411202028,臺中市,違規,整地,24.28974,120.60562
L0411201062,臺中市,合法,自然植被改變,24.29716,120.64142
L1811203017,臺中市,違規,其他,24.07998,120.65883
21511202018,臺中市,合法,其他,24.28382,120.66041
L0711201071,臺中市,違規,整地,24.26388,120.68399
80111201014,臺中市,合法,其他,24.05062,120.68615
L0111202039,臺中市,違規,整地,24.27149,120.72073
20311202031,第三河川局,不屬於其管轄範圍,其他,24.34897,120.72561
AL1811202024,臺中市,違規,堆積土石,24.07646,120.72667
L0111203043,臺中市,合法,其他,24.26913,120.74355
AL1911202036,臺中市,合法,其他,24.11493,120.76351
21411202001,中區水資源局,已知工程,工程施作,24.28445,120.77851
AL1211201057,臺中市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.25812,120.79526
AL2111202043,臺中市,合法,其他,24.17668,120.89182
L1711201088,臺中市,違規,新增建物,24.22852,120.46857
L1711201089,臺中市,合法,整地,24.22343,120.47369
L1711203011,臺中市,違規,傾倒廢棄物、土,24.22270,120.51043
20311203003,第三河川局,已知工程,工程施作,24.15148,120.53042
AL1611201016,臺中市,合法,其他,24.12734,120.55932
AL0511202048,臺中市,合法,其他,24.23495,120.57316
AL1311201005,臺中市,違規,開發建築用地,24.35336,120.64763
203112023007,第三河川局,合法,其他,24.35819,120.70434
L1811201036,臺中市,違規,新增建物,24.08021,120.70663
20311201002,第三河川局,合法,其他,24.13249,120.73690
AL1911202038,臺中市,合法,其他,24.07997,120.75507
AB0811201006,臺中市,違規,其他開挖整地,24.21356,120.75844
80111202027,臺中市,合法,其他,24.12979,120.76139
AL0211201036,臺中市,合法,其他,24.23861,120.85651
AL2111202044,臺中市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.37594,121.30962
L1711202006,臺中市,違規,其他,24.20962,120.52066
L1611202045,臺中市,合法,整地,24.11586,120.56555
L1611201030,臺中市,合法,其他,24.11338,120.56740
L1411202022,臺中市,合法,整地,24.36967,120.59180
L0411202026,臺中市,違規,整地,24.30061,120.60106
AL0911202021,臺中市,違規,其他開挖整地,24.23566,120.61075
20311201036,第三河川局,不屬於其管轄範圍,其他,24.04995,120.64716
L2011202046,臺中市,違規,新增建物,24.08012,120.68768
L0711202038,臺中市,違規,其他,24.25865,120.70734
20311202027,第三河川局,不屬於其管轄範圍,其他,24.10735,120.71498
AL1811201019,臺中市,合法,其他,24.03877,120.72848
AL1911201025,臺中市,違規,違規農業使用,24.10191,120.79065
AL1111202056,臺中市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.20342,120.80683
AL1911201024,臺中市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.11406,120.80736
L0211201081,臺中市,違規,其他,24.20430,120.83695
AL2111201040,臺中市,合法,其他,24.14861,120.96342
L0611202001,臺中市,合法,整地,24.23867,120.53377
20311201032,第三河川局,不屬於其管轄範圍,其他,24.11338,120.56740
AL1711202047,臺中市,違規,整坡作業,24.19217,120.58069
203112013004,第三河川局,已知工程,工程施作,24.32364,120.58704
L0311202057,臺中市,違規,傾倒廢棄物、土,24.40478,120.61386
80111202002,臺中市,違規,整地,24.21772,120.62524
20311201006,第三河川局,合法,其他,24.37986,120.63528
L1311201053,臺中市,違規,其他,24.35378,120.68347
20311201033,第三河川局,不屬於其管轄範圍,其他,24.12164,120.70087
L2011201032,臺中市,違規,其他,24.12164,120.70087
21511201048,臺中市,合法,已取得排水計畫書核定函,24.16317,120.70312
80111203003,臺中市,合法,其他,24.06346,120.72166
L2011202049,臺中市,合法,整地,24.09067,120.72351
AL0811202004,臺中市,合法,其他,24.28584,120.73599
AB0811201009,臺中市,違規,其他開挖整地,24.18678,120.75331
L1711201004,臺中市,合法,整地,24.21602,120.50239
AL1711202046,臺中市,合法,其他,24.19667,120.55578
20311202008,第三河川局,合法,改變流路,24.31442,120.60694
AL0411201003,臺中市,違規,違規農業使用,24.27575,120.64581
L0911201011,臺中市,違規,新增建物,24.22351,120.66747
L1811203021,臺中市,合法,其他,24.05457,120.68768
L1011201024,臺中市,違規,新增建物,24.21958,120.71009
L0111202040,臺中市,合法,其他,24.27248,120.72094
80111201016,臺中市,合法,新增建物,24.31985,120.72132
AB0811201008,臺中市,違規,其他開挖整地,24.18879,120.72505
AL0111203046,臺中市,合法,其他,24.23525,120.74246
AL1911201021,臺中市,違規,處理廢棄物,24.11146,120.76767
AL0211203050,臺中市,違規,整坡作業,24.28348,120.76778
AL0211202039,臺中市,合法,無道路可到達,24.28694,120.78437
L1211202078,臺中市,合法,作物變化,24.27078,120.81073
20311201045,第三河川局,不屬於其管轄範圍,其他,24.20430,120.83695
L1711201001,臺中市,違規,其他,24.21838,120.49917
20311203004,第三河川局,已知工程,工程施作,24.11504,120.55382
AL1711203061,臺中市,合法,其他,24.20356,120.55985
L1511201034,臺中市,違規,其他,24.08903,120.64036
AL1311202013,臺中市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.31769,120.64187
L0711201068,臺中市,違規,其他,24.25517,120.64676
203112013016,第三河川局,不屬於其管轄範圍,其他,24.04898,120.65080
AL1311203010,臺中市,違規,其他開挖整地,24.32113,120.65983
AL1311202009,臺中市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.32471,120.67605
L0711201012,臺中市,合法,整地,24.23918,120.68570
L1011201025,臺中市,合法,作物變化,24.20955,120.71494
21511201047,臺中市,合法,已取得排水計畫書核定函,24.21138,120.71897
20311201039,第三河川局,不屬於其管轄範圍,其他,24.27766,120.72575
L0111203037,臺中市,違規,其他,24.27449,120.72695
20311202030,第三河川局,不屬於其管轄範圍,其他,24.06763,120.73446
AL1811202028,臺中市,合法,其他,24.06763,120.73446
AL1911202034,臺中市,合法,其他,24.12979,120.76139
AL1911203037,臺中市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.15148,120.77252
20311203016,第三河川局,已知工程,工程施作,24.28385,120.78196
21411203001,中區水資源局,已知工程,工程施作,24.28385,120.78196
L0211201079,臺中市,違規,其他,24.21452,120.83918
AL2111202042,臺中市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.22683,120.90127
203112023005,第三河川局,已知工程,工程施作,24.11458,120.55400
AL0511201045,臺中市,合法,其他,24.22307,120.55814
L0411203034,臺中市,違規,整地,24.29413,120.56076
AL0511201046,臺中市,合法,其他,24.22015,120.57880
AL0411201001,臺中市,合法,其他,24.29842,120.63971
20311201034,第三河川局,不屬於其管轄範圍,其他,24.09167,120.65154
L1511201033,臺中市,違規,整地,24.09167,120.65154
L1811203018,臺中市,合法,作物變化,24.07718,120.67340
L1811202054,臺中市,合法,作物變化,24.05665,120.69474
AL1811202032,臺中市,違規,其他開挖整地,24.01285,120.70400
L1911202020,臺中市,違規,其他,24.10735,120.71498
L0111201076,臺中市,合法,其他,24.26351,120.71508
20311202028,第三河川局,不屬於其管轄範圍,其他,24.08618,120.73712
20311202024,第三河川局,不屬於其管轄範圍,其他,24.15991,120.74275
AL0111201032,臺中市,合法,其他,24.25292,120.74935
L0111202071,臺中市,合法,整地,24.27661,120.75017
AL1911201028,臺中市,違規,其他開挖整地,24.08352,120.75175
L0211201086,臺中市,合法,自然植被改變,24.25023,120.82764
AL0211203052,臺中市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.25660,120.86067
10211202001,雪霸,合法,自然植被改變,24.37594,121.30962
L1711202007,臺中市,違規,傾倒廢棄物、土,24.20714,120.53914
AL0411201004,臺中市,合法,其他,24.27059,120.60033
L1411202058,臺中市,違規,傾倒廢棄物、土,24.38145,120.61918
L1411202059,臺中市,合法,作物變化,24.37874,120.62099
L0311201048,臺中市,合法,新增建物,24.40498,120.63478
L0911202004,臺中市,合法,作物變化,24.22863,120.65850
L0711202029,臺中市,違規,整地,24.28432,120.66521
L1811202051,臺中市,合法,其他,24.07299,120.68884
L0811203049,臺中市,合法,其他,24.29909,120.69648
21511203025,臺中市,合法,已取得排水計畫書核定函,24.16232,120.71237
L0111201067,臺中市,違規,整地,24.27709,120.72874
