變異點編號,權責單位,查證結果,變異類型,latitude,longitude
H091000800008,桃園市,合法,新增建物,24.85000,121.21000
H091000600009,桃園市,違規,新增建物,24.89000,121.22000
H051000800024,桃園市,合法,整地,25.10000,121.27000
H051001000039,桃園市,違規,整地,25.03000,121.28000
H081000800016,桃園市,違規,新增建物,24.96000,121.32000
H041001200007,桃園市,合法,新增建物,24.92000,121.08000
H121001200028,桃園市,違規,新增建物,25.01000,121.11000
H121001000020,桃園市,合法,其他,25.05000,121.11000
H061001200016,桃園市,合法,新增建物,25.09000,121.23000
H131000600023,桃園市,合法,其他,24.73000,121.35000
H041000800004,桃園市,違規,道路變化,24.91000,121.08000
H091000800007,桃園市,違規,其他,24.87000,121.22000
H051000800026,桃園市,違規,新增建物,25.03000,121.26000
H071001000041,桃園市,違規,其他,25.01000,121.35000
H111001000004,桃園市,合法,新增水域(漁塭或水塘),24.95000,121.01000
H121001204004,桃園市,合法,新增建物,25.04000,121.06000
3251001004001,新竹林區管理處,合法,其他,25.08000,121.14000
H121000600001,桃園市,合法,其他,24.99000,121.15000
H061001200013,桃園市,違規,其他,25.09000,121.19000
H061001000014,桃園市,違規,新增建物,25.09000,121.21000
H051000600021,桃園市,合法,新增建物,25.02000,121.25000
H051000600026,桃園市,違規,新增建物,25.04000,121.27000
H021000800023,桃園市,違規,新增水域(漁塭或水塘),24.85000,121.28000
H071001000040,桃園市,違規,其他,25.01000,121.35000
H121001000019,桃園市,合法,移除建物,25.07000,121.13000
H111000600004,桃園市,違規,其他,24.96000,121.14000
3251000600001,新竹林區管理處,違規,新增建物,25.08000,121.17000
H061001200018,桃園市,違規,自然植被改變,25.07000,121.19000
H051001000032,桃園市,違規,其他,25.10000,121.27000
H081000600024,桃園市,合法,整地,24.95000,121.31000
H121000600015,桃園市,合法,其他,25.05000,121.09000
H111001000002,桃園市,合法,整地,24.97000,121.10000
H121001000023,桃園市,合法,新增建物,25.04000,121.11000
H111001000006,桃園市,合法,新增建物,24.95000,121.15000
H121000800014,桃園市,違規,新增建物,25.01000,121.15000
H061000600017,桃園市,違規,其他,25.07000,121.19000
H061000800009,桃園市,違規,新增建物,25.10000,121.23000
H061000600013,桃園市,違規,其他,25.11000,121.25000
H051000804001,桃園市,合法,整地,25.08000,121.27000
H051000800027,桃園市,違規,其他,25.03000,121.28000
H121000600018,桃園市,合法,自然植被改變,25.04000,121.07000
H111000600003,桃園市,違規,自然植被改變,24.95000,121.10000
H061001000025,桃園市,合法,新增建物,25.04000,121.22000
H031001000031,桃園市,違規,新增建物,25.01000,121.24000
