變異點編號,權責單位,查證結果,變異類型,latitude,longitude
H1111302001,桃園市,違規,堆置土石方,24.940755114040000,121.002472986429000
H1111302075,桃園市,合法,整地,25.005140228530700,121.029786112419000
H1111301002,桃園市,違規,新增建物,24.989880732523000,121.032970139404000
H1111302003,桃園市,合法,整地,24.986897018102200,121.034603906941000
H1111301018,桃園市,合法,其他,24.951433236947600,121.050760187138000
H1211303066,桃園市,違規,其他,25.012786531563800,121.070383695272000
H0411301047,桃園市,合法,其他,24.905470592363300,121.084103406941000
H1211303068,桃園市,合法,新增建物,25.003027808134200,121.091079106044000
H0411301048,桃園市,合法,其他,24.920163427215800,121.109755679592000
H1111301021,桃園市,違規,新增建物,24.968883769165700,121.118712103749000
AH0411303014,桃園市,違規,其他開挖整地,24.910013650899800,121.120298390529000
H0411302037,桃園市,合法,作物變化,24.903388093834400,121.136242430645000
H0411301036,桃園市,合法,自然植被改變,24.930292539354000,121.140415174203000
H1211301095,桃園市,合法,新增建物,25.017301878369400,121.140920260418000
H1211302054,桃園市,合法,整地,25.071755449604900,121.146233223164000
21511302062,桃園市,合法,政府興辦之緊急災害或重大事故致需辦理之公共工程,25.050859352953700,121.146323907432000
H1211301070,桃園市,合法,新增建物,25.050394013412400,121.148727797734000
H1211302008,桃園市,合法,作物變化,24.990292121401100,121.149165906519000
AH0411301031,桃園市,合法,其他,24.890247321725500,121.152071239285000
AH0911302035,桃園市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.855673541803700,121.157753716738000
AH0911301036,桃園市,合法,其他,24.862370182940200,121.162479451417000
H0611302055,桃園市,合法,整地,25.051676944254300,121.178197273395000
AH0411301028,桃園市,合法,非農業核准開發案件,24.920407919260500,121.179625676852000
AH0411301033,桃園市,合法,其他,24.897699873257600,121.180164200319000
H0311303075,桃園市,合法,其他,25.007829701305200,121.181979923461000
H0611302056,桃園市,合法,整地,25.068331932974400,121.182328240313000
H0311302011,桃園市,違規,其他,24.982541047226500,121.183992771699000
AH0911301039,桃園市,合法,其他,24.869006739488400,121.187571632375000
H0611301073,桃園市,違規,新增建物,25.055632011458400,121.189530525383000
H1011301040,桃園市,違規,新增建物,24.929969912947200,121.199690985113000
H1011301042,桃園市,違規,新增建物,24.930155969285300,121.200270657602000
H0611303040,桃園市,合法,整地,25.084503889164300,121.210844404058000
H0611301099,桃園市,合法,整地,25.023032945411000,121.215164927384000
AH0911301050,桃園市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.819078084901300,121.217726918087000
H0311303008,桃園市,合法,河道變化,24.992603720966400,121.217830478101000
AH0911301051,桃園市,合法,其他,24.812245956828800,121.218771648485000
21511302061,桃園市,無法現場查驗,,25.095728969124400,121.221471977833000
H1011303024,桃園市,違規,整地,24.933615999184800,121.221528108212000
H0511302073,桃園市,違規,其他,25.039909393302500,121.237683005948000
H0511302083,桃園市,違規,新增建物,25.014043953669000,121.252112069898000
AH0911302052,桃園市,合法,非農業核准開發案件,24.834494006121200,121.255044825027000
H0511303098,桃園市,違規,其他,25.045831688070300,121.263064632436000
H0211302089,桃園市,違規,堆置土石方,24.898439683342700,121.267410297426000
H0511302085,桃園市,違規,其他,24.992127481661700,121.267557968802000
21011302004,第十河川分署,合法,整地,24.854431339412600,121.268494174982000
H0811303087,桃園市,違規,整地,24.933236378922000,121.268611098662000
H0211301107,桃園市,違規,其他,24.887508399750100,121.272792762619000
H0811301103,桃園市,合法,整地,24.934879399206800,121.278431395368000
AH0211302013,桃園市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.879240762194800,121.301261143487000
AH0211301014,桃園市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.879123760853100,121.301529069186000
80111301039,桃園市,合法,自然植被改變,24.912054587098000,121.302399115708000
H0211302092,桃園市,合法,自然植被改變,24.920627052344000,121.315367083904000
AH0511301004,桃園市,違規,堆積土石,25.085266107887700,121.316133143621000
AH0211301021,桃園市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.844550068216600,121.323106224620000
AH0511301003,桃園市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),25.078981983810600,121.325050115778000
AH1311302069,桃園市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.833087582930600,121.332504881484000
AH0711301056,桃園市,違規,整坡作業,25.044118657947400,121.334508440159000
AH0511302003,桃園市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),25.077355763603400,121.337962281368000
AH0511302006,桃園市,違規,開發建築用地,25.067169707059800,121.341476987233000
AH1311302070,桃園市,違規,違規農業使用,24.836335624843600,121.348214398301000
AH1311302073,桃園市,合法,一般農業使用(含農地水土保持、農業設施、民眾闢設道路等開發案件),24.841542404498300,121.352254784926000
AH1311302077,桃園市,違規,違規農業使用,24.827435372978200,121.362553658177000
32211301013,農業部林業保育署新竹分署,合法,天災,24.675773071837100,121.369300406423000
AH1311302076,桃園市,違規,違規農業使用,24.831143467716600,121.371439766351000
AH0711301059,桃園市,違規,未依核定計畫施工,25.008098367709600,121.387561637063000
H1111301005,桃園市,合法,其他,24.978797028440100,121.046862808580000
21511301091,桃園市,合法,其他,24.951433236947600,121.050760187138000
H0411302032,桃園市,合法,新增建物,24.903339596967000,121.067600961589000
H0411302018,桃園市,合法,整地,24.934941324988700,121.080387946381000
H0411302033,桃園市,違規,新增建物,24.906611295146600,121.089755194567000
H1211301079,桃園市,合法,作物變化,25.025191285604900,121.094995487541000
H1111302005,桃園市,合法,其他,24.982032778831700,121.098089543058000
H0411301046,桃園市,違規,新增建物,24.920679236400100,121.099474869427000
H1111302013,桃園市,合法,整地,24.953364735232400,121.101362786053000
H0411301032,桃園市,違規,其他,24.929189052835400,121.109761111325000
H0411302023,桃園市,違規,新增建物,24.924784216728200,121.111773113472000
H0411302035,桃園市,合法,河道變化,24.916691808769300,121.116861124504000
H1211302064,桃園市,違規,其他,25.023618433288900,121.119108491683000
H1211303069,桃園市,合法,新增建物,25.020797542577200,121.123043826488000
AH0411303013,桃園市,違規,開發建築用地,24.909078607838000,121.129977011206000
H0411302025,桃園市,合法,其他,24.927500740702500,121.136840153268000
